indicator_id,census_tract_id,indicator_name,year,value
2,430200,enroll,2018,1001
2,430500,enroll,2018,1075
2,431400,enroll,2018,1458
2,440700,enroll,2018,253
2,470100,enroll,2018,401
2,821402,enroll,2018,577
2,822101,enroll,2018,1035
2,823102,enroll,2018,899
2,823304,enroll,2018,1834
2,824507,enroll,2018,1117
2,824800,enroll,2018,2445
2,824900,enroll,2018,991
2,825400,enroll,2018,848
2,825501,enroll,2018,1331
2,825503,enroll,2018,2074
2,825505,enroll,2018,1736
2,826202,enroll,2018,1879
2,803603,enroll,2018,1704
2,803610,enroll,2018,1710
2,804201,enroll,2018,2526
2,817500,enroll,2018,640
2,817700,enroll,2018,1199
2,817900,enroll,2018,1285
2,821401,enroll,2018,958
2,820104,enroll,2018,1031
2,820201,enroll,2018,1725
2,821200,enroll,2018,1725
2,821600,enroll,2018,1352
2,821700,enroll,2018,1487
2,822102,enroll,2018,1271
2,222600,enroll,2018,228
2,230800,enroll,2018,359
2,240700,enroll,2018,428
2,241000,enroll,2018,485
2,61200,enroll,2018,455
2,61500,enroll,2018,251
2,62900,enroll,2018,651
2,210700,enroll,2018,932
2,221100,enroll,2018,1058
2,221200,enroll,2018,471
2,63000,enroll,2018,584
2,71200,enroll,2018,382
2,81500,enroll,2018,538
2,90300,enroll,2018,332
2,130300,enroll,2018,1536
2,100600,enroll,2018,916
2,110400,enroll,2018,1078
2,120200,enroll,2018,1197
2,770800,enroll,2018,1024
2,691000,enroll,2018,536
2,710400,enroll,2018,1773
2,740400,enroll,2018,1051
2,800800,enroll,2018,552
2,81000,enroll,2018,1808
2,30400,enroll,2018,434
2,510100,enroll,2018,951
2,480100,enroll,2018,531
2,491100,enroll,2018,692
2,491300,enroll,2018,736
2,520100,enroll,2018,534
2,530100,enroll,2018,633
2,530200,enroll,2018,749
2,560100,enroll,2018,301
2,580100,enroll,2018,775
2,580600,enroll,2018,1555
2,590500,enroll,2018,414
2,600400,enroll,2018,1072
2,819100,enroll,2018,1024
2,819600,enroll,2018,1339
