indicator_id,census_tract_id,indicator_name,year,value
3,251000,population,2020,997
3,251100,population,2020,4763
3,251200,population,2020,4527
3,251300,population,2020,3920
3,251400,population,2020,3894
3,251500,population,2020,4601
3,251600,population,2020,4300
3,251700,population,2020,1262
3,251800,population,2020,5175
3,251900,population,2020,4763
3,252000,population,2020,4798
3,252101,population,2020,1289
3,252102,population,2020,6452
3,252201,population,2020,2283
3,252202,population,2020,4385
3,260100,population,2020,1200
3,260200,population,2020,873
3,260300,population,2020,1777
3,260400,population,2020,1158
3,260500,population,2020,1733
3,260600,population,2020,2097
3,260700,population,2020,1633
3,260800,population,2020,2328
3,260900,population,2020,1294
3,261000,population,2020,2271
3,270500,population,2020,1285
3,271200,population,2020,1273
3,271300,population,2020,1122
3,271400,population,2020,1228
3,271500,population,2020,1531
3,271800,population,2020,459
3,280100,population,2020,6713
3,280400,population,2020,1371
3,280800,population,2020,789
3,280900,population,2020,782
3,281900,population,2020,6487
3,282700,population,2020,2042
3,250800,population,2020,2607
3,282800,population,2020,1627
3,283100,population,2020,3091
3,283200,population,2020,1676
3,283800,population,2020,3670
3,290900,population,2020,3611
3,291200,population,2020,1959
3,291600,population,2020,912
3,292200,population,2020,2527
3,292400,population,2020,2189
3,822200,population,2020,3583
3,822301,population,2020,3234
3,822302,population,2020,4143
3,822400,population,2020,6214
3,822500,population,2020,4110
3,822601,population,2020,4204
3,822602,population,2020,7510
3,822701,population,2020,4834
3,822702,population,2020,3400
3,822801,population,2020,3171
3,822802,population,2020,3615
3,822900,population,2020,1966
3,823001,population,2020,6470
3,823002,population,2020,5236
3,823101,population,2020,4061
3,823102,population,2020,3833
3,823200,population,2020,4792
3,823302,population,2020,6060
3,823303,population,2020,4001
3,823304,population,2020,6345
3,823400,population,2020,4969
3,823500,population,2020,4418
3,823602,population,2020,6069
3,823603,population,2020,2143
3,823604,population,2020,3510
3,823605,population,2020,4222
3,823702,population,2020,5757
3,823703,population,2020,8236
3,823704,population,2020,3946
3,823705,population,2020,4430
3,823801,population,2020,5268
3,823803,population,2020,6561
3,823805,population,2020,2918
3,823806,population,2020,4037
3,823901,population,2020,3901
3,823903,population,2020,4313
3,823904,population,2020,4000
3,824003,population,2020,6036
3,824004,population,2020,4825
3,824005,population,2020,5468
3,824006,population,2020,5470
3,824105,population,2020,7220
3,824106,population,2020,6267
3,824107,population,2020,7553
3,824113,population,2020,6891
3,824114,population,2020,5166
3,292500,population,2020,3588
3,300500,population,2020,2793
3,300600,population,2020,2648
3,300700,population,2020,4572
3,300800,population,2020,3973
3,300900,population,2020,4016
3,301100,population,2020,2148
3,301200,population,2020,4654
3,301600,population,2020,3754
3,301701,population,2020,4099
3,301702,population,2020,3961
3,301801,population,2020,4437
3,301802,population,2020,2746
3,301803,population,2020,3547
3,310200,population,2020,1697
3,310300,population,2020,1891
3,310400,population,2020,1061
3,310500,population,2020,1434
3,310600,population,2020,4780
3,310700,population,2020,1322
3,310800,population,2020,4272
3,310900,population,2020,4983
3,320101,population,2020,8862
3,320102,population,2020,4356
3,320400,population,2020,3049
3,320600,population,2020,5094
3,330101,population,2020,5082
3,330102,population,2020,9396
3,330103,population,2020,6796
3,330200,population,2020,3892
3,340300,population,2020,1915
3,340400,population,2020,1750
3,340500,population,2020,1535
3,340600,population,2020,1036
3,350100,population,2020,2562
3,350400,population,2020,2018
3,351000,population,2020,3197
3,351100,population,2020,2327
3,351400,population,2020,1778
3,351500,population,2020,713
3,360200,population,2020,1456
3,380100,population,2020,1900
3,380200,population,2020,1642
3,380600,population,2020,3764
3,381200,population,2020,1980
3,381400,population,2020,1559
3,824116,population,2020,5192
3,824119,population,2020,5553
3,824121,population,2020,3277
3,824122,population,2020,6262
3,824123,population,2020,7357
3,824124,population,2020,2741
3,824125,population,2020,4858
3,824126,population,2020,5733
3,824127,population,2020,3940
3,824128,population,2020,4576
3,824129,population,2020,4151
3,824300,population,2020,4876
3,824400,population,2020,1693
3,824503,population,2020,6314
3,824505,population,2020,6145
3,824507,population,2020,3992
3,824508,population,2020,2980
3,824509,population,2020,4723
3,824601,population,2020,4368
3,824602,population,2020,6751
3,824701,population,2020,3890
3,824702,population,2020,5559
