indicator_id,census_tract_id,sub_group_indicator_name,year,value
3,10100,uninsured,2022,629
3,10201,uninsured,2022,842
3,10202,uninsured,2022,506
3,10300,uninsured,2022,1101
3,10400,uninsured,2022,410
3,10501,uninsured,2022,296
3,10502,uninsured,2022,405
3,10503,uninsured,2022,79
3,10600,uninsured,2022,809
3,10701,uninsured,2022,613
3,10702,uninsured,2022,635
3,20100,uninsured,2022,692
3,20200,uninsured,2022,1096
3,20301,uninsured,2022,490
3,20302,uninsured,2022,270
3,20400,uninsured,2022,928
3,20500,uninsured,2022,1272
3,20601,uninsured,2022,484
3,20602,uninsured,2022,785
3,20701,uninsured,2022,87
3,20702,uninsured,2022,421
3,20801,uninsured,2022,1027
3,20802,uninsured,2022,1598
3,20901,uninsured,2022,1453
3,20902,uninsured,2022,471
3,30101,uninsured,2022,308
3,30102,uninsured,2022,254
3,30103,uninsured,2022,215
3,30104,uninsured,2022,251
3,30200,uninsured,2022,832
3,30300,uninsured,2022,475
3,30400,uninsured,2022,329
3,30500,uninsured,2022,618
3,30601,uninsured,2022,235
3,30603,uninsured,2022,238
3,30604,uninsured,2022,135
3,30701,uninsured,2022,125
3,30702,uninsured,2022,155
3,30703,uninsured,2022,159
3,30706,uninsured,2022,47
3,30800,uninsured,2022,169
3,30900,uninsured,2022,133
3,31000,uninsured,2022,281
3,31100,uninsured,2022,293
3,31200,uninsured,2022,900
3,31300,uninsured,2022,785
3,31400,uninsured,2022,232
3,31501,uninsured,2022,352
3,31502,uninsured,2022,782
3,31700,uninsured,2022,361
3,31800,uninsured,2022,163
3,31900,uninsured,2022,95
3,32100,uninsured,2022,708
3,40100,uninsured,2022,175
3,40201,uninsured,2022,366
3,40202,uninsured,2022,1812
3,40300,uninsured,2022,408
3,40401,uninsured,2022,214
3,40402,uninsured,2022,305
3,40600,uninsured,2022,230
3,40700,uninsured,2022,156
3,40800,uninsured,2022,61
3,40900,uninsured,2022,260
3,50100,uninsured,2022,102
3,50200,uninsured,2022,133
3,50300,uninsured,2022,100
3,50500,uninsured,2022,153
3,50600,uninsured,2022,33
3,50700,uninsured,2022,107
3,50800,uninsured,2022,15
3,50900,uninsured,2022,39
3,51000,uninsured,2022,18
3,51100,uninsured,2022,52
3,51200,uninsured,2022,61
3,51300,uninsured,2022,9
3,51400,uninsured,2022,154
3,60100,uninsured,2022,74
3,60200,uninsured,2022,87
3,60300,uninsured,2022,26
3,60400,uninsured,2022,57
3,60500,uninsured,2022,37
3,60800,uninsured,2022,280
3,60900,uninsured,2022,421
3,61000,uninsured,2022,27
3,61100,uninsured,2022,102
3,61200,uninsured,2022,67
3,61500,uninsured,2022,57
3,61800,uninsured,2022,115
3,61901,uninsured,2022,74
3,61902,uninsured,2022,399
3,62000,uninsured,2022,52
3,62100,uninsured,2022,209
3,62200,uninsured,2022,77
3,62300,uninsured,2022,31
3,62400,uninsured,2022,24
3,62500,uninsured,2022,45
3,62600,uninsured,2022,67
3,62700,uninsured,2022,66
3,62800,uninsured,2022,97
3,62900,uninsured,2022,53
3,63000,uninsured,2022,72
3,63100,uninsured,2022,140
3,63200,uninsured,2022,0
3,63301,uninsured,2022,122
3,63302,uninsured,2022,202
3,63303,uninsured,2022,0
3,63400,uninsured,2022,246
3,70101,uninsured,2022,72
3,70102,uninsured,2022,99
3,70103,uninsured,2022,32
3,70200,uninsured,2022,94
3,70300,uninsured,2022,156
3,70400,uninsured,2022,25
3,70500,uninsured,2022,0
3,70600,uninsured,2022,64
3,70700,uninsured,2022,71
3,71000,uninsured,2022,130
3,71100,uninsured,2022,97
3,71200,uninsured,2022,56
3,71300,uninsured,2022,63
3,71400,uninsured,2022,34
3,71500,uninsured,2022,208
3,71600,uninsured,2022,5
3,71700,uninsured,2022,32
3,71800,uninsured,2022,76
3,80100,uninsured,2022,99
3,80201,uninsured,2022,73
3,80202,uninsured,2022,234
3,80300,uninsured,2022,170
3,80400,uninsured,2022,34
3,81000,uninsured,2022,353
3,81100,uninsured,2022,159
3,81201,uninsured,2022,107
3,81202,uninsured,2022,61
3,81300,uninsured,2022,154
3,81401,uninsured,2022,36
3,81402,uninsured,2022,144
3,81403,uninsured,2022,83
3,81500,uninsured,2022,87
3,81600,uninsured,2022,51
3,81700,uninsured,2022,160
3,81800,uninsured,2022,156
3,81900,uninsured,2022,21
3,90100,uninsured,2022,82
3,90200,uninsured,2022,121
3,90300,uninsured,2022,22
3,100100,uninsured,2022,113
3,100200,uninsured,2022,220
3,100300,uninsured,2022,388
3,100400,uninsured,2022,37
3,100500,uninsured,2022,264
3,100600,uninsured,2022,282
3,100700,uninsured,2022,234
3,110100,uninsured,2022,466
3,110200,uninsured,2022,138
3,110300,uninsured,2022,244
3,110400,uninsured,2022,547
3,110501,uninsured,2022,294
3,110502,uninsured,2022,427
