indicator_id,census_tract_id,indicator_name,year,value
5,823304,median_age,2017,40
5,824507,median_age,2017,38
5,824800,median_age,2017,26
5,824900,median_age,2017,32
5,825400,median_age,2017,38
5,825501,median_age,2017,38
5,825503,median_age,2017,39
5,825505,median_age,2017,39
5,530600,median_age,2017,38
5,310800,median_age,2017,33
5,330200,median_age,2017,44
5,340500,median_age,2017,47
5,351500,median_age,2017,25
5,390300,median_age,2017,33
5,400800,median_age,2017,28
5,410800,median_age,2017,31
5,420300,median_age,2017,20
5,430200,median_age,2017,33
5,430500,median_age,2017,32
5,431400,median_age,2017,45
5,440700,median_age,2017,47
5,470100,median_age,2017,45
5,480100,median_age,2017,50
5,491100,median_age,2017,47
5,491300,median_age,2017,32
5,510100,median_age,2017,36
5,520100,median_age,2017,34
5,530100,median_age,2017,35
5,530200,median_age,2017,33
5,560100,median_age,2017,38
5,801603,median_age,2017,40
5,801608,median_age,2017,52
5,801901,median_age,2017,49
5,802402,median_age,2017,44
5,803010,median_age,2017,42
5,71300,median_age,2017,30
5,80300,median_age,2017,31
5,81600,median_age,2017,32
5,81800,median_age,2017,33
5,81900,median_age,2017,33
5,570300,median_age,2017,34
5,611500,median_age,2017,30
5,611700,median_age,2017,32
5,620200,median_age,2017,36
5,816300,median_age,2017,36
5,817000,median_age,2017,35
5,818500,median_age,2017,54
5,818700,median_age,2017,40
5,200100,median_age,2017,34
5,160900,median_age,2017,39
5,170900,median_age,2017,41
5,220300,median_age,2017,33
5,630100,median_age,2017,32
5,661000,median_age,2017,35
5,670200,median_age,2017,34
5,10400,median_age,2017,23
5,380100,median_age,2017,44
5,671800,median_age,2017,29
5,691100,median_age,2017,32
5,530300,median_age,2017,39
5,560900,median_age,2017,42
5,580300,median_age,2017,37
5,611300,median_age,2017,34
5,611600,median_age,2017,32
5,620300,median_age,2017,29
5,620400,median_age,2017,30
5,819000,median_age,2017,42
5,819300,median_age,2017,35
5,820400,median_age,2017,30
5,820800,median_age,2017,34
5,170100,median_age,2017,59
5,170700,median_age,2017,42
5,190100,median_age,2017,32
5,220500,median_age,2017,30
5,222700,median_age,2017,29
5,231200,median_age,2017,32
5,231500,median_age,2017,34
5,240500,median_age,2017,33
5,240900,median_age,2017,38
5,242200,median_age,2017,30
5,243500,median_age,2017,32
5,250500,median_age,2017,38
5,251000,median_age,2017,33
5,251400,median_age,2017,42
5,260800,median_age,2017,28
5,50100,median_age,2017,33
5,50700,median_age,2017,31
5,62100,median_age,2017,28
5,620100,median_age,2017,32
5,630800,median_age,2017,28
5,640700,median_age,2017,34
5,650100,median_age,2017,31
5,670500,median_age,2017,34
5,671900,median_age,2017,34
5,830006,median_age,2017,43
5,830201,median_age,2017,38
5,808800,median_age,2017,38
5,809200,median_age,2017,33
5,810501,median_age,2017,45
5,811100,median_age,2017,42
5,811200,median_age,2017,38
5,812500,median_age,2017,41
5,812700,median_age,2017,38
5,814000,median_age,2017,32
5,815000,median_age,2017,34
5,815400,median_age,2017,37
5,816600,median_age,2017,31
5,817101,median_age,2017,39
5,817200,median_age,2017,34
5,817400,median_age,2017,28
5,819900,median_age,2017,43
5,820501,median_age,2017,38
5,822400,median_age,2017,34
5,822802,median_age,2017,44
5,823303,median_age,2017,37
5,823604,median_age,2017,47
5,200300,median_age,2017,31
5,110100,median_age,2017,40
5,110200,median_age,2017,39
5,130200,median_age,2017,43
5,803005,median_age,2017,43
5,803300,median_age,2017,43
5,803605,median_age,2017,39
5,271800,median_age,2017,22
5,280800,median_age,2017,37
5,280900,median_age,2017,30
5,281900,median_age,2017,30
5,291200,median_age,2017,23
5,803902,median_age,2017,41
5,804104,median_age,2017,42
5,804105,median_age,2017,43
5,804202,median_age,2017,43
5,804805,median_age,2017,41
5,830004,median_age,2017,36
5,830005,median_age,2017,52
5,820606,median_age,2017,39
5,823805,median_age,2017,45
5,823806,median_age,2017,44
5,824003,median_age,2017,44
5,824004,median_age,2017,48
5,824005,median_age,2017,42
5,824006,median_age,2017,46
5,824113,median_age,2017,44
5,824114,median_age,2017,45
5,824115,median_age,2017,46
5,824116,median_age,2017,38
5,824117,median_age,2017,43
5,824119,median_age,2017,49
5,824120,median_age,2017,49
5,824121,median_age,2017,39
5,824122,median_age,2017,44
5,824123,median_age,2017,38
5,825303,median_age,2017,34
5,825304,median_age,2017,40
5,830007,median_age,2017,37
5,830008,median_age,2017,40
5,830500,median_age,2017,28
5,830600,median_age,2017,32
5,830700,median_age,2017,36
5,830800,median_age,2017,32
5,830900,median_age,2017,34
5,831000,median_age,2017,34
5,831100,median_age,2017,32
5,831200,median_age,2017,30
5,831300,median_age,2017,35
5,831400,median_age,2017,38
5,831500,median_age,2017,33
5,831600,median_age,2017,38
5,831700,median_age,2017,34
5,831800,median_age,2017,35
5,831900,median_age,2017,29
5,832000,median_age,2017,28
5,832100,median_age,2017,29
5,832200,median_age,2017,31
5,832300,median_age,2017,31
5,832400,median_age,2017,32
5,832500,median_age,2017,30
5,832600,median_age,2017,29
5,832900,median_age,2017,26
5,833000,median_age,2017,33
5,63302,median_age,2017,30
5,63303,median_age,2017,66
5,70101,median_age,2017,35
5,70102,median_age,2017,30
5,70103,median_age,2017,27
5,80201,median_age,2017,39
5,80202,median_age,2017,35
5,81201,median_age,2017,41
5,81202,median_age,2017,57
5,81401,median_age,2017,50
5,81402,median_age,2017,37
5,81403,median_age,2017,34
5,110501,median_age,2017,39
5,110502,median_age,2017,36
5,833100,median_age,2017,35
5,833300,median_age,2017,23
5,833900,median_age,2017,31
5,834000,median_age,2017,40
5,834200,median_age,2017,39
5,834300,median_age,2017,43
5,834400,median_age,2017,34
5,834500,median_age,2017,25
5,834600,median_age,2017,34
5,834700,median_age,2017,32
5,834800,median_age,2017,46
5,834900,median_age,2017,44
5,835000,median_age,2017,30
5,835100,median_age,2017,30
5,835200,median_age,2017,36
5,835500,median_age,2017,54
5,835600,median_age,2017,44
5,835700,median_age,2017,25
5,835800,median_age,2017,29
5,835900,median_age,2017,36
5,836000,median_age,2017,34
5,836100,median_age,2017,28
5,836200,median_age,2017,20
5,340400,median_age,2017,38
5,360200,median_age,2017,26
5,190800,median_age,2017,34
5,191200,median_age,2017,28
5,210100,median_age,2017,33
5,220400,median_age,2017,33
5,240800,median_age,2017,33
5,243000,median_age,2017,36
5,250800,median_age,2017,37
5,251700,median_age,2017,27
5,818401,median_age,2017,41
5,816500,median_age,2017,29
5,430101,median_age,2017,37
5,430102,median_age,2017,45
5,431301,median_age,2017,32
5,431302,median_age,2017,25
5,440101,median_age,2017,32
5,440102,median_age,2017,32
5,440201,median_age,2017,35
5,440202,median_age,2017,43
5,460301,median_age,2017,28
5,460302,median_age,2017,33
5,490901,median_age,2017,39
5,490902,median_age,2017,43
5,530501,median_age,2017,34
5,530502,median_age,2017,41
5,530503,median_age,2017,33
5,540101,median_age,2017,21
5,540102,median_age,2017,21
5,580501,median_age,2017,30
5,580502,median_age,2017,32
5,650301,median_age,2017,31
5,650302,median_age,2017,31
5,660301,median_age,2017,28
5,660302,median_age,2017,32
5,700301,median_age,2017,30
5,700302,median_age,2017,37
5,700401,median_age,2017,31
5,700402,median_age,2017,38
5,700501,median_age,2017,45
5,700502,median_age,2017,39
5,730201,median_age,2017,44
5,730202,median_age,2017,42
5,760801,median_age,2017,34
5,760802,median_age,2017,45
5,760803,median_age,2017,37
5,770201,median_age,2017,43
5,770202,median_age,2017,49
5,770601,median_age,2017,45
5,150501,median_age,2017,42
5,150502,median_age,2017,39
5,151001,median_age,2017,37
5,151002,median_age,2017,36
5,160501,median_age,2017,31
5,160502,median_age,2017,32
5,160601,median_age,2017,33
5,160602,median_age,2017,34
5,190401,median_age,2017,35
5,190402,median_age,2017,35
5,190601,median_age,2017,30
5,190602,median_age,2017,37
5,190701,median_age,2017,34
5,190702,median_age,2017,29
5,191301,median_age,2017,31
5,191302,median_age,2017,30
5,200401,median_age,2017,32
5,200402,median_age,2017,29
5,210501,median_age,2017,31
5,310900,median_age,2017,29
5,420500,median_age,2017,39
5,430400,median_age,2017,31
5,430600,median_age,2017,40
5,440900,median_age,2017,36
5,460100,median_age,2017,35
5,480500,median_age,2017,40
5,283100,median_age,2017,26
5,300700,median_age,2017,27
5,300800,median_age,2017,25
5,340600,median_age,2017,28
5,340300,median_age,2017,46
5,351000,median_age,2017,39
5,814300,median_age,2017,28
5,815900,median_age,2017,41
5,808702,median_age,2017,19
5,660600,median_age,2017,33
5,670100,median_age,2017,43
5,670800,median_age,2017,35
5,671100,median_age,2017,26
5,671200,median_age,2017,39
5,671400,median_age,2017,38
5,671500,median_age,2017,37
5,671600,median_age,2017,45
5,672000,median_age,2017,40
5,826202,median_age,2017,35
5,826600,median_age,2017,35
5,826800,median_age,2017,31
5,500100,median_age,2017,44
5,520400,median_age,2017,34
5,820902,median_age,2017,34
5,821001,median_age,2017,38
5,821002,median_age,2017,40
5,822200,median_age,2017,36
5,822500,median_age,2017,43
5,822801,median_age,2017,38
5,823200,median_age,2017,40
5,823603,median_age,2017,32
5,823705,median_age,2017,36
5,824107,median_age,2017,48
5,824300,median_age,2017,43
5,825504,median_age,2017,36
5,825700,median_age,2017,33
5,825803,median_age,2017,40
5,310400,median_age,2017,31
5,310600,median_age,2017,33
5,829402,median_age,2017,41
5,829600,median_age,2017,46
5,829700,median_age,2017,37
5,829800,median_age,2017,47
5,830400,median_age,2017,35
5,800700,median_age,2017,42
5,802503,median_age,2017,38
5,801701,median_age,2017,43
5,801902,median_age,2017,43
5,802002,median_age,2017,44
5,802504,median_age,2017,38
5,802702,median_age,2017,47
5,803008,median_age,2017,44
5,803200,median_age,2017,50
5,803500,median_age,2017,45
5,804102,median_age,2017,48
5,824505,median_age,2017,42
5,825900,median_age,2017,33
5,826000,median_age,2017,27
5,826100,median_age,2017,33
5,826304,median_age,2017,38
5,242300,median_age,2017,33
5,250400,median_age,2017,35
5,251600,median_age,2017,34
5,251800,median_age,2017,25
5,260900,median_age,2017,30
5,271200,median_age,2017,38
5,821900,median_age,2017,44
