indicator_id,census_tract_id,sub_group_indicator_name,year,value
2,817500,college,2017,26279
2,817700,college,2017,30784
2,817900,college,2017,35738
2,821401,college,2017,24630
2,820104,college,2017,42738
2,140602,college,2017,32837
2,140301,college,2017,19107
2,140302,college,2017,27380
2,140601,college,2017,21172
2,140701,college,2017,32679
2,140702,college,2017,27310
2,150401,college,2017,41632
2,150402,college,2017,36581
2,210502,college,2017,25313
2,210601,college,2017,26454
2,210602,college,2017,35875
2,220601,college,2017,31389
2,220602,college,2017,30699
2,220701,college,2017,28292
2,220702,college,2017,32286
2,220901,college,2017,36375
2,220902,college,2017,30000
2,252101,college,2017,22115
2,252102,college,2017,26280
2,252201,college,2017,30648
2,252202,college,2017,30042
2,301701,college,2017,26575
2,301702,college,2017,25000
2,301801,college,2017,37273
2,301802,college,2017,30595
2,301803,college,2017,24018
2,826902,college,2017,29125
2,510200,college,2017,31375
2,570500,college,2017,26797
2,600600,college,2017,24205
2,611200,college,2017,-666666666
2,640800,college,2017,36765
2,670900,college,2017,40184
2,691300,college,2017,31850
2,430700,college,2017,23474
2,490400,college,2017,22857
2,824106,college,2017,56691
2,806802,college,2017,19440
2,809400,college,2017,26328
2,817600,college,2017,29533
2,818402,college,2017,47929
2,826303,college,2017,25042
2,827300,college,2017,23438
2,828503,college,2017,36833
2,640400,college,2017,49550
2,660400,college,2017,24489
2,660800,college,2017,24986
2,671300,college,2017,21379
2,825302,college,2017,43750
2,826500,college,2017,21591
2,826700,college,2017,33117
2,827100,college,2017,21327
2,828000,college,2017,37446
2,828202,college,2017,37990
2,829302,college,2017,35714
2,300900,college,2017,28194
2,301200,college,2017,24000
2,817102,college,2017,35587
2,817300,college,2017,28750
2,819100,college,2017,34482
2,819600,college,2017,76719
2,827804,college,2017,52016
2,827500,college,2017,35240
2,827801,college,2017,35972
2,828506,college,2017,38529
2,829100,college,2017,28750
2,829500,college,2017,24668
2,804804,college,2017,45033
2,805105,college,2017,41124
2,805108,college,2017,31269
2,805701,college,2017,41392
2,805702,college,2017,58365
2,806801,college,2017,26719
2,807300,college,2017,35806
2,808002,college,2017,41250
2,808900,college,2017,32273
2,320600,college,2017,49829
2,350400,college,2017,-666666666
2,804810,college,2017,40944
2,804901,college,2017,37474
2,805301,college,2017,41058
2,805302,college,2017,42204
2,805402,college,2017,35348
2,806300,college,2017,46532
2,807100,college,2017,44556
2,808200,college,2017,41419
2,808500,college,2017,32353
2,812900,college,2017,39271
2,813100,college,2017,37273
2,813200,college,2017,38188
2,813400,college,2017,30792
2,814100,college,2017,28797
2,291600,college,2017,44246
2,292400,college,2017,35417
2,301100,college,2017,27155
2,301600,college,2017,30756
2,310300,college,2017,27059
2,320100,college,2017,75550
2,330100,college,2017,42360
2,10300,college,2017,33947
2,50800,college,2017,46250
2,50900,college,2017,42230
2,51100,college,2017,55750
2,490300,college,2017,29943
2,490700,college,2017,24297
2,251900,college,2017,20729
2,821101,college,2017,34767
2,820202,college,2017,27692
2,820300,college,2017,46145
2,821102,college,2017,32243
2,821300,college,2017,26017
2,260500,college,2017,33250
2,825802,college,2017,25023
2,827600,college,2017,29340
2,827805,college,2017,34946
2,828201,college,2017,42986
2,809600,college,2017,31286
2,810400,college,2017,46477
2,810600,college,2017,37683
2,810900,college,2017,34706
2,811301,college,2017,31540
2,811302,college,2017,33462
2,812100,college,2017,45871
2,813500,college,2017,32792
