indicator_id,census_tract_id,indicator_name,year,value
1,817500,median_income,2017,33810
1,817700,median_income,2017,59116
1,817900,median_income,2017,49965
1,821401,median_income,2017,41515
1,820104,median_income,2017,69449
1,140602,median_income,2017,60508
1,140301,median_income,2017,40192
1,140302,median_income,2017,72577
1,140601,median_income,2017,45769
1,140701,median_income,2017,60100
1,140702,median_income,2017,51324
1,150401,median_income,2017,70203
1,150402,median_income,2017,64545
1,210502,median_income,2017,44750
1,210601,median_income,2017,61141
1,210602,median_income,2017,54700
1,220601,median_income,2017,58558
1,220602,median_income,2017,44091
1,220701,median_income,2017,67415
1,220702,median_income,2017,61186
1,220901,median_income,2017,41047
1,220902,median_income,2017,46574
1,252101,median_income,2017,21339
1,252102,median_income,2017,39243
1,252201,median_income,2017,33295
1,252202,median_income,2017,26826
1,301701,median_income,2017,31775
1,301702,median_income,2017,40417
1,301801,median_income,2017,35784
1,301802,median_income,2017,32500
1,301803,median_income,2017,35960
1,826902,median_income,2017,20167
1,510200,median_income,2017,43289
1,570500,median_income,2017,41875
1,600600,median_income,2017,34069
1,611200,median_income,2017,27697
1,640800,median_income,2017,54722
1,670900,median_income,2017,35592
1,691300,median_income,2017,40658
1,430700,median_income,2017,19093
1,490400,median_income,2017,49881
1,824106,median_income,2017,88824
1,806802,median_income,2017,70521
1,809400,median_income,2017,49977
1,817600,median_income,2017,49592
1,818402,median_income,2017,65329
1,826303,median_income,2017,45904
1,827300,median_income,2017,17891
1,828503,median_income,2017,40018
1,640400,median_income,2017,78730
1,660400,median_income,2017,45550
1,660800,median_income,2017,37690
1,671300,median_income,2017,31429
1,825302,median_income,2017,61331
1,826500,median_income,2017,41847
1,826700,median_income,2017,30170
1,827100,median_income,2017,22500
1,828000,median_income,2017,40391
1,828202,median_income,2017,61067
1,829302,median_income,2017,22370
1,300900,median_income,2017,27859
1,301200,median_income,2017,26076
1,817102,median_income,2017,62500
1,817300,median_income,2017,23721
1,819100,median_income,2017,44859
1,819600,median_income,2017,142396
1,827804,median_income,2017,69777
1,827500,median_income,2017,30684
1,827801,median_income,2017,60354
1,828506,median_income,2017,49352
1,829100,median_income,2017,23016
1,829500,median_income,2017,33646
1,804804,median_income,2017,72142
1,805105,median_income,2017,54409
1,805108,median_income,2017,55084
1,805701,median_income,2017,99563
1,805702,median_income,2017,106750
1,806801,median_income,2017,58167
1,807300,median_income,2017,63950
1,808002,median_income,2017,80875
1,808900,median_income,2017,137188
1,320600,median_income,2017,101311
1,350400,median_income,2017,10980
1,804810,median_income,2017,71667
1,804901,median_income,2017,87536
1,805301,median_income,2017,69271
1,805302,median_income,2017,84500
1,805402,median_income,2017,64492
1,806300,median_income,2017,80230
1,807100,median_income,2017,125156
1,808200,median_income,2017,71875
1,808500,median_income,2017,89665
1,812900,median_income,2017,104926
1,813100,median_income,2017,88111
1,813200,median_income,2017,117083
1,813400,median_income,2017,46962
1,814100,median_income,2017,40082
