indicator_id,census_tract_id,indicator_name,year,value
5,251000,population,2020,997
5,251100,population,2020,4763
5,251200,population,2020,4527
5,251300,population,2020,3920
5,251400,population,2020,3894
5,251500,population,2020,4601
5,251600,population,2020,4300
5,251700,population,2020,1262
5,251800,population,2020,5175
5,251900,population,2020,4763
5,252000,population,2020,4958
5,252101,population,2020,1289
5,252102,population,2020,6452
5,252201,population,2020,2672
5,252202,population,2020,4385
5,260100,population,2020,1200
5,260200,population,2020,873
5,260300,population,2020,1777
5,260400,population,2020,1158
5,260500,population,2020,1733
5,260600,population,2020,2097
5,260700,population,2020,1633
5,260800,population,2020,2328
5,260900,population,2020,1419
5,261000,population,2020,2271
5,270500,population,2020,1285
5,271200,population,2020,1273
5,271300,population,2020,1122
5,271400,population,2020,1228
5,271500,population,2020,1531
5,271800,population,2020,459
5,280100,population,2020,6725
5,280400,population,2020,1371
5,280800,population,2020,809
5,280900,population,2020,782
5,281900,population,2020,6487
5,282700,population,2020,2042
5,250800,population,2020,2607
5,282800,population,2020,1627
5,283100,population,2020,3091
5,283200,population,2020,1676
5,283800,population,2020,3670
5,290900,population,2020,3611
5,291200,population,2020,1959
5,291600,population,2020,912
5,292200,population,2020,2527
5,292400,population,2020,2189
5,822200,population,2020,3583
5,822301,population,2020,3234
5,822302,population,2020,4391
5,822400,population,2020,6214
5,822500,population,2020,4195
5,822601,population,2020,4214
5,822602,population,2020,7510
5,822701,population,2020,4834
5,822702,population,2020,3400
5,822801,population,2020,3171
5,822802,population,2020,3615
5,822900,population,2020,1966
5,823001,population,2020,6887
5,823002,population,2020,5236
5,823101,population,2020,4061
5,823102,population,2020,3833
5,823200,population,2020,4792
5,823302,population,2020,6060
5,823303,population,2020,4001
5,823304,population,2020,6345
5,823400,population,2020,4969
5,823500,population,2020,4448
5,823602,population,2020,6369
5,823603,population,2020,2143
5,823604,population,2020,3510
5,823605,population,2020,4297
5,823702,population,2020,5757
5,823703,population,2020,8236
5,823704,population,2020,3946
5,823705,population,2020,4498
5,823801,population,2020,5268
5,823803,population,2020,6703
5,823805,population,2020,2918
5,823806,population,2020,4037
5,823901,population,2020,4009
5,823903,population,2020,4529
5,823904,population,2020,4000
5,824003,population,2020,6189
5,824004,population,2020,5014
5,824005,population,2020,5468
5,824006,population,2020,5470
5,824105,population,2020,7220
5,824106,population,2020,6267
5,824107,population,2020,7553
5,824113,population,2020,6891
5,824114,population,2020,5166
5,292500,population,2020,3588
5,300500,population,2020,2793
5,300600,population,2020,2757
