NAME,S1902_C03_019E,state,county,tract
"Census Tract 2510, Cook County, Illinois",18499,17,031,251000
"Census Tract 2511, Cook County, Illinois",16873,17,031,251100
"Census Tract 2512, Cook County, Illinois",19597,17,031,251200
"Census Tract 2513, Cook County, Illinois",18522,17,031,251300
"Census Tract 2514, Cook County, Illinois",20473,17,031,251400
"Census Tract 2515, Cook County, Illinois",21565,17,031,251500
"Census Tract 2516, Cook County, Illinois",12990,17,031,251600
"Census Tract 2517, Cook County, Illinois",19816,17,031,251700
"Census Tract 2518, Cook County, Illinois",12049,17,031,251800
"Census Tract 2519, Cook County, Illinois",16642,17,031,251900
"Census Tract 2520, Cook County, Illinois",18086,17,031,252000
"Census Tract 2521.01, Cook County, Illinois",36126,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",15136,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",21225,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",17927,17,031,252202
"Census Tract 2601, Cook County, Illinois",17936,17,031,260100
"Census Tract 2602, Cook County, Illinois",15984,17,031,260200
"Census Tract 2603, Cook County, Illinois",9838,17,031,260300
"Census Tract 2604, Cook County, Illinois",17281,17,031,260400
"Census Tract 2605, Cook County, Illinois",16145,17,031,260500
"Census Tract 2606, Cook County, Illinois",11671,17,031,260600
"Census Tract 2607, Cook County, Illinois",15818,17,031,260700
"Census Tract 2608, Cook County, Illinois",14971,17,031,260800
"Census Tract 2609, Cook County, Illinois",11358,17,031,260900
"Census Tract 2610, Cook County, Illinois",18121,17,031,261000
"Census Tract 2705, Cook County, Illinois",14692,17,031,270500
"Census Tract 2712, Cook County, Illinois",17036,17,031,271200
"Census Tract 2713, Cook County, Illinois",13432,17,031,271300
"Census Tract 2714, Cook County, Illinois",16430,17,031,271400
"Census Tract 2715, Cook County, Illinois",20117,17,031,271500
"Census Tract 2718, Cook County, Illinois",17349,17,031,271800
"Census Tract 2801, Cook County, Illinois",111975,17,031,280100
"Census Tract 2804, Cook County, Illinois",31077,17,031,280400
"Census Tract 2808, Cook County, Illinois",19318,17,031,280800
"Census Tract 2809, Cook County, Illinois",65585,17,031,280900
"Census Tract 2819, Cook County, Illinois",79145,17,031,281900
"Census Tract 2827, Cook County, Illinois",40092,17,031,282700
"Census Tract 2508, Cook County, Illinois",17573,17,031,250800
"Census Tract 2828, Cook County, Illinois",39794,17,031,282800
"Census Tract 2831, Cook County, Illinois",30101,17,031,283100
"Census Tract 2832, Cook County, Illinois",42957,17,031,283200
"Census Tract 2838, Cook County, Illinois",45806,17,031,283800
"Census Tract 2909, Cook County, Illinois",16348,17,031,290900
"Census Tract 2912, Cook County, Illinois",14738,17,031,291200
"Census Tract 2916, Cook County, Illinois",24088,17,031,291600
"Census Tract 2922, Cook County, Illinois",20868,17,031,292200
"Census Tract 2924, Cook County, Illinois",29614,17,031,292400
"Census Tract 8222, Cook County, Illinois",29977,17,031,822200
"Census Tract 8223.01, Cook County, Illinois",30950,17,031,822301
"Census Tract 8223.02, Cook County, Illinois",28250,17,031,822302
"Census Tract 8224, Cook County, Illinois",23379,17,031,822400
"Census Tract 8225, Cook County, Illinois",36253,17,031,822500
"Census Tract 8226.01, Cook County, Illinois",34935,17,031,822601
"Census Tract 8226.02, Cook County, Illinois",40852,17,031,822602
"Census Tract 8227.01, Cook County, Illinois",31872,17,031,822701
"Census Tract 8227.02, Cook County, Illinois",31577,17,031,822702
"Census Tract 8228.01, Cook County, Illinois",47275,17,031,822801
"Census Tract 8228.02, Cook County, Illinois",35431,17,031,822802
"Census Tract 8229, Cook County, Illinois",30830,17,031,822900
"Census Tract 8230.01, Cook County, Illinois",24445,17,031,823001
"Census Tract 8230.02, Cook County, Illinois",27148,17,031,823002
"Census Tract 8231.01, Cook County, Illinois",27767,17,031,823101
"Census Tract 8231.02, Cook County, Illinois",26926,17,031,823102
"Census Tract 8232, Cook County, Illinois",30364,17,031,823200
"Census Tract 8233.02, Cook County, Illinois",27422,17,031,823302
"Census Tract 8233.03, Cook County, Illinois",33311,17,031,823303
"Census Tract 8233.04, Cook County, Illinois",26781,17,031,823304
"Census Tract 8234, Cook County, Illinois",22155,17,031,823400
"Census Tract 8235, Cook County, Illinois",30561,17,031,823500
"Census Tract 8236.02, Cook County, Illinois",35312,17,031,823602
"Census Tract 8236.03, Cook County, Illinois",15369,17,031,823603
"Census Tract 8236.04, Cook County, Illinois",43346,17,031,823604
"Census Tract 8236.05, Cook County, Illinois",33474,17,031,823605
"Census Tract 8237.02, Cook County, Illinois",39364,17,031,823702
"Census Tract 8237.03, Cook County, Illinois",22587,17,031,823703
"Census Tract 8237.04, Cook County, Illinois",34843,17,031,823704
"Census Tract 8237.05, Cook County, Illinois",30310,17,031,823705
"Census Tract 8238.01, Cook County, Illinois",57421,17,031,823801
"Census Tract 8238.03, Cook County, Illinois",32481,17,031,823803
"Census Tract 8238.05, Cook County, Illinois",36513,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",28432,17,031,823806
"Census Tract 8239.01, Cook County, Illinois",54800,17,031,823901
"Census Tract 8239.03, Cook County, Illinois",46997,17,031,823903
"Census Tract 8239.04, Cook County, Illinois",51930,17,031,823904
"Census Tract 8240.03, Cook County, Illinois",39111,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",47636,17,031,824004
"Census Tract 8240.05, Cook County, Illinois",49250,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",46879,17,031,824006
"Census Tract 8241.05, Cook County, Illinois",44773,17,031,824105
"Census Tract 8241.06, Cook County, Illinois",40258,17,031,824106
"Census Tract 8241.07, Cook County, Illinois",38241,17,031,824107
"Census Tract 8241.13, Cook County, Illinois",44161,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",50074,17,031,824114
"Census Tract 2925, Cook County, Illinois",19839,17,031,292500
"Census Tract 3005, Cook County, Illinois",18569,17,031,300500
"Census Tract 3006, Cook County, Illinois",16003,17,031,300600
"Census Tract 3007, Cook County, Illinois",17268,17,031,300700
"Census Tract 3008, Cook County, Illinois",10095,17,031,300800
"Census Tract 3009, Cook County, Illinois",15446,17,031,300900
"Census Tract 3011, Cook County, Illinois",15889,17,031,301100
"Census Tract 3012, Cook County, Illinois",17750,17,031,301200
"Census Tract 3016, Cook County, Illinois",14715,17,031,301600
"Census Tract 3017.01, Cook County, Illinois",21005,17,031,301701
"Census Tract 3017.02, Cook County, Illinois",19017,17,031,301702
"Census Tract 3018.01, Cook County, Illinois",15075,17,031,301801
"Census Tract 3018.02, Cook County, Illinois",14917,17,031,301802
"Census Tract 3018.03, Cook County, Illinois",17963,17,031,301803
"Census Tract 3102, Cook County, Illinois",46032,17,031,310200
"Census Tract 3103, Cook County, Illinois",31004,17,031,310300
"Census Tract 3104, Cook County, Illinois",44642,17,031,310400
"Census Tract 3105, Cook County, Illinois",23640,17,031,310500
"Census Tract 3106, Cook County, Illinois",35247,17,031,310600
"Census Tract 3107, Cook County, Illinois",25316,17,031,310700
"Census Tract 3108, Cook County, Illinois",30806,17,031,310800
"Census Tract 3109, Cook County, Illinois",26156,17,031,310900
"Census Tract 3201.01, Cook County, Illinois",130261,17,031,320101
"Census Tract 3201.02, Cook County, Illinois",112456,17,031,320102
"Census Tract 3204, Cook County, Illinois",62798,17,031,320400
"Census Tract 3206, Cook County, Illinois",77840,17,031,320600
"Census Tract 3301.01, Cook County, Illinois",111913,17,031,330101
"Census Tract 3301.02, Cook County, Illinois",96207,17,031,330102
"Census Tract 3301.03, Cook County, Illinois",75155,17,031,330103
"Census Tract 3302, Cook County, Illinois",73525,17,031,330200
"Census Tract 3403, Cook County, Illinois",20910,17,031,340300
"Census Tract 3404, Cook County, Illinois",25613,17,031,340400
"Census Tract 3405, Cook County, Illinois",30510,17,031,340500
"Census Tract 3406, Cook County, Illinois",9005,17,031,340600
"Census Tract 3501, Cook County, Illinois",45837,17,031,350100
"Census Tract 3504, Cook County, Illinois",10207,17,031,350400
"Census Tract 3510, Cook County, Illinois",42143,17,031,351000
"Census Tract 3511, Cook County, Illinois",10747,17,031,351100
"Census Tract 3514, Cook County, Illinois",18668,17,031,351400
"Census Tract 3515, Cook County, Illinois",26928,17,031,351500
"Census Tract 3602, Cook County, Illinois",18441,17,031,360200
"Census Tract 3801, Cook County, Illinois",32247,17,031,380100
"Census Tract 3802, Cook County, Illinois",43024,17,031,380200
"Census Tract 3806, Cook County, Illinois",25443,17,031,380600
"Census Tract 3812, Cook County, Illinois",29192,17,031,381200
"Census Tract 3814, Cook County, Illinois",21867,17,031,381400
"Census Tract 8241.16, Cook County, Illinois",37717,17,031,824116
"Census Tract 8241.19, Cook County, Illinois",47891,17,031,824119
"Census Tract 8241.21, Cook County, Illinois",35709,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",55692,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",35677,17,031,824123
"Census Tract 8241.24, Cook County, Illinois",32896,17,031,824124
"Census Tract 8241.25, Cook County, Illinois",35863,17,031,824125
"Census Tract 8241.26, Cook County, Illinois",47056,17,031,824126
"Census Tract 8241.27, Cook County, Illinois",42039,17,031,824127
"Census Tract 8241.28, Cook County, Illinois",44760,17,031,824128
"Census Tract 8241.29, Cook County, Illinois",51061,17,031,824129
"Census Tract 8243, Cook County, Illinois",16606,17,031,824300
