NAME,S1903_C03_001E,state,county,tract
Census Tract 101; Cook County; Illinois,68196,17,031,010100
Census Tract 102.01; Cook County; Illinois,61071,17,031,010201
Census Tract 102.02; Cook County; Illinois,58698,17,031,010202
Census Tract 103; Cook County; Illinois,68336,17,031,010300
Census Tract 104; Cook County; Illinois,48630,17,031,010400
Census Tract 105.01; Cook County; Illinois,47858,17,031,010501
Census Tract 105.02; Cook County; Illinois,55813,17,031,010502
Census Tract 105.03; Cook County; Illinois,18750,17,031,010503
Census Tract 106; Cook County; Illinois,66313,17,031,010600
Census Tract 107.01; Cook County; Illinois,70542,17,031,010701
Census Tract 107.02; Cook County; Illinois,52193,17,031,010702
Census Tract 201; Cook County; Illinois,57029,17,031,020100
Census Tract 202; Cook County; Illinois,117005,17,031,020200
Census Tract 203.01; Cook County; Illinois,73539,17,031,020301
Census Tract 203.02; Cook County; Illinois,84205,17,031,020302
Census Tract 204; Cook County; Illinois,76607,17,031,020400
Census Tract 205; Cook County; Illinois,43948,17,031,020500
Census Tract 206.01; Cook County; Illinois,61046,17,031,020601
Census Tract 206.02; Cook County; Illinois,83839,17,031,020602
Census Tract 207.01; Cook County; Illinois,92024,17,031,020701
Census Tract 207.02; Cook County; Illinois,68897,17,031,020702
Census Tract 208.01; Cook County; Illinois,71953,17,031,020801
Census Tract 208.02; Cook County; Illinois,62212,17,031,020802
Census Tract 209.01; Cook County; Illinois,50243,17,031,020901
Census Tract 209.02; Cook County; Illinois,49432,17,031,020902
Census Tract 301.01; Cook County; Illinois,50696,17,031,030101
Census Tract 301.02; Cook County; Illinois,55067,17,031,030102
Census Tract 301.03; Cook County; Illinois,53684,17,031,030103
Census Tract 301.04; Cook County; Illinois,45865,17,031,030104
Census Tract 302; Cook County; Illinois,91406,17,031,030200
Census Tract 303; Cook County; Illinois,64662,17,031,030300
Census Tract 304; Cook County; Illinois,97143,17,031,030400
Census Tract 305; Cook County; Illinois,109375,17,031,030500
Census Tract 306.01; Cook County; Illinois,51808,17,031,030601
Census Tract 306.03; Cook County; Illinois,54300,17,031,030603
Census Tract 306.04; Cook County; Illinois,49816,17,031,030604
Census Tract 307.01; Cook County; Illinois,47614,17,031,030701
Census Tract 307.02; Cook County; Illinois,69050,17,031,030702
Census Tract 307.03; Cook County; Illinois,56667,17,031,030703
Census Tract 307.06; Cook County; Illinois,54143,17,031,030706
Census Tract 308; Cook County; Illinois,96069,17,031,030800
Census Tract 309; Cook County; Illinois,102309,17,031,030900
Census Tract 310; Cook County; Illinois,121026,17,031,031000
Census Tract 311; Cook County; Illinois,79010,17,031,031100
Census Tract 312; Cook County; Illinois,24389,17,031,031200
Census Tract 313; Cook County; Illinois,64598,17,031,031300
Census Tract 314; Cook County; Illinois,82526,17,031,031400
Census Tract 315.01; Cook County; Illinois,48889,17,031,031501
Census Tract 315.02; Cook County; Illinois,47188,17,031,031502
Census Tract 317; Cook County; Illinois,84766,17,031,031700
Census Tract 318; Cook County; Illinois,80873,17,031,031800
Census Tract 319; Cook County; Illinois,93864,17,031,031900
Census Tract 321; Cook County; Illinois,69313,17,031,032100
Census Tract 401; Cook County; Illinois,93576,17,031,040100
Census Tract 402.01; Cook County; Illinois,99624,17,031,040201
Census Tract 402.02; Cook County; Illinois,58293,17,031,040202
Census Tract 403; Cook County; Illinois,86979,17,031,040300
Census Tract 404.01; Cook County; Illinois,107083,17,031,040401
Census Tract 404.02; Cook County; Illinois,94132,17,031,040402
Census Tract 406; Cook County; Illinois,97596,17,031,040600
Census Tract 407; Cook County; Illinois,105400,17,031,040700
Census Tract 408; Cook County; Illinois,105500,17,031,040800
Census Tract 409; Cook County; Illinois,79803,17,031,040900
Census Tract 501; Cook County; Illinois,123929,17,031,050100
Census Tract 502; Cook County; Illinois,138546,17,031,050200
Census Tract 503; Cook County; Illinois,163625,17,031,050300
Census Tract 505; Cook County; Illinois,142548,17,031,050500
Census Tract 506; Cook County; Illinois,109188,17,031,050600
Census Tract 507; Cook County; Illinois,125438,17,031,050700
Census Tract 508; Cook County; Illinois,172888,17,031,050800
Census Tract 509; Cook County; Illinois,130769,17,031,050900
Census Tract 510; Cook County; Illinois,180500,17,031,051000
Census Tract 511; Cook County; Illinois,159145,17,031,051100
Census Tract 512; Cook County; Illinois,166771,17,031,051200
Census Tract 513; Cook County; Illinois,218403,17,031,051300
Census Tract 514; Cook County; Illinois,154044,17,031,051400
Census Tract 601; Cook County; Illinois,135272,17,031,060100
Census Tract 602; Cook County; Illinois,89167,17,031,060200
Census Tract 603; Cook County; Illinois,140125,17,031,060300
Census Tract 604; Cook County; Illinois,162011,17,031,060400
Census Tract 605; Cook County; Illinois,54250,17,031,060500
Census Tract 608; Cook County; Illinois,81156,17,031,060800
Census Tract 609; Cook County; Illinois,83601,17,031,060900
Census Tract 610; Cook County; Illinois,127872,17,031,061000
Census Tract 611; Cook County; Illinois,108158,17,031,061100
Census Tract 612; Cook County; Illinois,109479,17,031,061200
Census Tract 615; Cook County; Illinois,133000,17,031,061500
Census Tract 618; Cook County; Illinois,69250,17,031,061800
