NAME,S1501_C01_062E,state,county,tract
"Census Tract 101, Cook County, Illinois",41367,17,031,010100
"Census Tract 102.01, Cook County, Illinois",36352,17,031,010201
"Census Tract 102.02, Cook County, Illinois",35350,17,031,010202
"Census Tract 103, Cook County, Illinois",33766,17,031,010300
"Census Tract 104, Cook County, Illinois",42948,17,031,010400
"Census Tract 105.01, Cook County, Illinois",29706,17,031,010501
"Census Tract 105.02, Cook County, Illinois",39028,17,031,010502
"Census Tract 105.03, Cook County, Illinois",41750,17,031,010503
"Census Tract 106, Cook County, Illinois",35100,17,031,010600
"Census Tract 107.01, Cook County, Illinois",25217,17,031,010701
"Census Tract 107.02, Cook County, Illinois",32308,17,031,010702
"Census Tract 201, Cook County, Illinois",25920,17,031,020100
"Census Tract 202, Cook County, Illinois",34383,17,031,020200
"Census Tract 203.01, Cook County, Illinois",31526,17,031,020301
"Census Tract 203.02, Cook County, Illinois",31909,17,031,020302
"Census Tract 204, Cook County, Illinois",24941,17,031,020400
"Census Tract 205, Cook County, Illinois",27110,17,031,020500
"Census Tract 206.01, Cook County, Illinois",20299,17,031,020601
"Census Tract 206.02, Cook County, Illinois",34638,17,031,020602
"Census Tract 207.01, Cook County, Illinois",54167,17,031,020701
"Census Tract 207.02, Cook County, Illinois",28973,17,031,020702
"Census Tract 208.01, Cook County, Illinois",43223,17,031,020801
"Census Tract 208.02, Cook County, Illinois",32308,17,031,020802
"Census Tract 209.01, Cook County, Illinois",40022,17,031,020901
"Census Tract 209.02, Cook County, Illinois",23906,17,031,020902
"Census Tract 301.01, Cook County, Illinois",29821,17,031,030101
"Census Tract 301.02, Cook County, Illinois",36161,17,031,030102
"Census Tract 301.03, Cook County, Illinois",25833,17,031,030103
"Census Tract 301.04, Cook County, Illinois",29458,17,031,030104
"Census Tract 302, Cook County, Illinois",53250,17,031,030200
"Census Tract 303, Cook County, Illinois",33750,17,031,030300
"Census Tract 304, Cook County, Illinois",30889,17,031,030400
"Census Tract 305, Cook County, Illinois",36842,17,031,030500
"Census Tract 306.01, Cook County, Illinois",32951,17,031,030601
"Census Tract 306.03, Cook County, Illinois",31373,17,031,030603
"Census Tract 306.04, Cook County, Illinois",34200,17,031,030604
"Census Tract 307.01, Cook County, Illinois",30598,17,031,030701
"Census Tract 307.02, Cook County, Illinois",46623,17,031,030702
"Census Tract 307.03, Cook County, Illinois",32225,17,031,030703
"Census Tract 307.06, Cook County, Illinois",29568,17,031,030706
"Census Tract 308, Cook County, Illinois",37294,17,031,030800
"Census Tract 309, Cook County, Illinois",-666666666,17,031,030900
"Census Tract 310, Cook County, Illinois",50216,17,031,031000
"Census Tract 311, Cook County, Illinois",-666666666,17,031,031100
"Census Tract 312, Cook County, Illinois",36155,17,031,031200
"Census Tract 313, Cook County, Illinois",37795,17,031,031300
"Census Tract 314, Cook County, Illinois",58442,17,031,031400
"Census Tract 315.01, Cook County, Illinois",25156,17,031,031501
"Census Tract 315.02, Cook County, Illinois",30641,17,031,031502
"Census Tract 317, Cook County, Illinois",26528,17,031,031700
"Census Tract 318, Cook County, Illinois",52031,17,031,031800
"Census Tract 319, Cook County, Illinois",54207,17,031,031900
"Census Tract 321, Cook County, Illinois",-666666666,17,031,032100
"Census Tract 401, Cook County, Illinois",44063,17,031,040100
"Census Tract 402.01, Cook County, Illinois",32153,17,031,040201
"Census Tract 402.02, Cook County, Illinois",27083,17,031,040202
"Census Tract 403, Cook County, Illinois",-666666666,17,031,040300
"Census Tract 404.01, Cook County, Illinois",36838,17,031,040401
"Census Tract 404.02, Cook County, Illinois",38801,17,031,040402
"Census Tract 406, Cook County, Illinois",42702,17,031,040600
"Census Tract 407, Cook County, Illinois",37292,17,031,040700
"Census Tract 408, Cook County, Illinois",40000,17,031,040800
"Census Tract 409, Cook County, Illinois",-666666666,17,031,040900
"Census Tract 501, Cook County, Illinois",48011,17,031,050100
"Census Tract 502, Cook County, Illinois",64766,17,031,050200
"Census Tract 503, Cook County, Illinois",61516,17,031,050300
"Census Tract 505, Cook County, Illinois",66667,17,031,050500
"Census Tract 506, Cook County, Illinois",-666666666,17,031,050600
"Census Tract 507, Cook County, Illinois",-666666666,17,031,050700
"Census Tract 508, Cook County, Illinois",54769,17,031,050800
"Census Tract 509, Cook County, Illinois",63393,17,031,050900
"Census Tract 510, Cook County, Illinois",86563,17,031,051000
"Census Tract 511, Cook County, Illinois",58810,17,031,051100
"Census Tract 512, Cook County, Illinois",49375,17,031,051200
"Census Tract 513, Cook County, Illinois",98580,17,031,051300
"Census Tract 514, Cook County, Illinois",44861,17,031,051400
"Census Tract 601, Cook County, Illinois",56154,17,031,060100
"Census Tract 602, Cook County, Illinois",25956,17,031,060200
"Census Tract 603, Cook County, Illinois",57831,17,031,060300
"Census Tract 604, Cook County, Illinois",49076,17,031,060400
"Census Tract 605, Cook County, Illinois",65039,17,031,060500
"Census Tract 608, Cook County, Illinois",56986,17,031,060800
"Census Tract 609, Cook County, Illinois",59019,17,031,060900
"Census Tract 610, Cook County, Illinois",-666666666,17,031,061000
"Census Tract 611, Cook County, Illinois",27228,17,031,061100
"Census Tract 612, Cook County, Illinois",-666666666,17,031,061200
"Census Tract 615, Cook County, Illinois",31701,17,031,061500
"Census Tract 618, Cook County, Illinois",38382,17,031,061800
"Census Tract 619.01, Cook County, Illinois",-666666666,17,031,061901
"Census Tract 619.02, Cook County, Illinois",58281,17,031,061902
"Census Tract 620, Cook County, Illinois",36161,17,031,062000
"Census Tract 621, Cook County, Illinois",36964,17,031,062100
"Census Tract 622, Cook County, Illinois",73750,17,031,062200
"Census Tract 623, Cook County, Illinois",58750,17,031,062300
"Census Tract 624, Cook County, Illinois",48750,17,031,062400
"Census Tract 625, Cook County, Illinois",-666666666,17,031,062500
"Census Tract 626, Cook County, Illinois",-666666666,17,031,062600
"Census Tract 627, Cook County, Illinois",30814,17,031,062700
"Census Tract 628, Cook County, Illinois",33292,17,031,062800
"Census Tract 629, Cook County, Illinois",34226,17,031,062900
"Census Tract 630, Cook County, Illinois",38125,17,031,063000
"Census Tract 631, Cook County, Illinois",-666666666,17,031,063100
"Census Tract 632, Cook County, Illinois",-666666666,17,031,063200
"Census Tract 633.01, Cook County, Illinois",60134,17,031,063301
