NAME,S1501_C01_064E,state,county,tract
"Census Tract 8175, Cook County, Illinois",-666666666,17,031,817500
"Census Tract 8177, Cook County, Illinois",46016,17,031,817700
"Census Tract 8179, Cook County, Illinois",107813,17,031,817900
"Census Tract 8214.01, Cook County, Illinois",61797,17,031,821401
"Census Tract 8201.04, Cook County, Illinois",84688,17,031,820104
"Census Tract 1406.02, Cook County, Illinois",51477,17,031,140602
"Census Tract 1403.01, Cook County, Illinois",-666666666,17,031,140301
"Census Tract 1403.02, Cook County, Illinois",70335,17,031,140302
"Census Tract 1406.01, Cook County, Illinois",53182,17,031,140601
"Census Tract 1407.01, Cook County, Illinois",52083,17,031,140701
"Census Tract 1407.02, Cook County, Illinois",62396,17,031,140702
"Census Tract 1504.01, Cook County, Illinois",82083,17,031,150401
"Census Tract 1504.02, Cook County, Illinois",62639,17,031,150402
"Census Tract 2105.02, Cook County, Illinois",-666666666,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",54875,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",66940,17,031,210602
"Census Tract 2206.01, Cook County, Illinois",53864,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",52652,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",69167,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",65163,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",45341,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",56750,17,031,220902
"Census Tract 2521.01, Cook County, Illinois",87583,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",40370,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",-666666666,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",-666666666,17,031,252202
"Census Tract 3017.01, Cook County, Illinois",74615,17,031,301701
"Census Tract 3017.02, Cook County, Illinois",112750,17,031,301702
"Census Tract 3018.01, Cook County, Illinois",-666666666,17,031,301801
"Census Tract 3018.02, Cook County, Illinois",59464,17,031,301802
"Census Tract 3018.03, Cook County, Illinois",36250,17,031,301803
"Census Tract 8269.02, Cook County, Illinois",-666666666,17,031,826902
"Census Tract 5102, Cook County, Illinois",36452,17,031,510200
"Census Tract 5705, Cook County, Illinois",44844,17,031,570500
"Census Tract 6006, Cook County, Illinois",72750,17,031,600600
"Census Tract 6112, Cook County, Illinois",-666666666,17,031,611200
"Census Tract 6408, Cook County, Illinois",36042,17,031,640800
"Census Tract 6709, Cook County, Illinois",34479,17,031,670900
"Census Tract 6913, Cook County, Illinois",58276,17,031,691300
"Census Tract 4307, Cook County, Illinois",73125,17,031,430700
"Census Tract 4904, Cook County, Illinois",73036,17,031,490400
"Census Tract 8241.06, Cook County, Illinois",64545,17,031,824106
"Census Tract 8068.02, Cook County, Illinois",70469,17,031,806802
"Census Tract 8094, Cook County, Illinois",69013,17,031,809400
"Census Tract 8176, Cook County, Illinois",-666666666,17,031,817600
"Census Tract 8184.02, Cook County, Illinois",54052,17,031,818402
"Census Tract 8263.03, Cook County, Illinois",41220,17,031,826303
"Census Tract 8273, Cook County, Illinois",-666666666,17,031,827300
"Census Tract 8285.03, Cook County, Illinois",41141,17,031,828503
"Census Tract 6404, Cook County, Illinois",87730,17,031,640400
"Census Tract 6604, Cook County, Illinois",61667,17,031,660400
"Census Tract 6608, Cook County, Illinois",20724,17,031,660800
"Census Tract 6713, Cook County, Illinois",40813,17,031,671300
"Census Tract 8253.02, Cook County, Illinois",-666666666,17,031,825302
"Census Tract 8265, Cook County, Illinois",41092,17,031,826500
"Census Tract 8267, Cook County, Illinois",64516,17,031,826700
"Census Tract 8271, Cook County, Illinois",59167,17,031,827100
"Census Tract 8280, Cook County, Illinois",80745,17,031,828000
"Census Tract 8282.02, Cook County, Illinois",55833,17,031,828202
"Census Tract 8293.02, Cook County, Illinois",41688,17,031,829302
"Census Tract 3009, Cook County, Illinois",-666666666,17,031,300900
"Census Tract 3012, Cook County, Illinois",-666666666,17,031,301200
"Census Tract 8171.02, Cook County, Illinois",59766,17,031,817102
"Census Tract 8173, Cook County, Illinois",57500,17,031,817300
"Census Tract 8191, Cook County, Illinois",56029,17,031,819100
"Census Tract 8196, Cook County, Illinois",108214,17,031,819600
"Census Tract 8278.04, Cook County, Illinois",65200,17,031,827804
"Census Tract 8275, Cook County, Illinois",-666666666,17,031,827500
"Census Tract 8278.01, Cook County, Illinois",71250,17,031,827801
