census_tract_id,indicator_name,value,year
10100,agg_rent,1470000,2021
10201,agg_rent,2350100,2021
10202,agg_rent,949100,2021
10300,agg_rent,1962900,2021
10400,agg_rent,1522700,2021
10501,agg_rent,2049900,2021
10502,agg_rent,1282800,2021
10503,agg_rent,936300,2021
10600,agg_rent,2063600,2021
10701,agg_rent,823200,2021
10702,agg_rent,1682700,2021
20100,agg_rent,1181900,2021
20200,agg_rent,599400,2021
20301,agg_rent,582000,2021
20302,agg_rent,722900,2021
20400,agg_rent,990500,2021
20500,agg_rent,1592700,2021
20601,agg_rent,1195700,2021
20602,agg_rent,1022100,2021
20701,agg_rent,281200,2021
20702,agg_rent,1518200,2021
20801,agg_rent,1412300,2021
20802,agg_rent,1602300,2021
20901,agg_rent,1493300,2021
20902,agg_rent,923500,2021
30101,agg_rent,1326900,2021
30102,agg_rent,1235300,2021
30103,agg_rent,695500,2021
30104,agg_rent,686600,2021
30200,agg_rent,1822700,2021
30300,agg_rent,968400,2021
30400,agg_rent,841600,2021
30500,agg_rent,2167900,2021
30601,agg_rent,1519700,2021
30603,agg_rent,1183100,2021
30604,agg_rent,1650000,2021
30701,agg_rent,652700,2021
30702,agg_rent,696800,2021
30703,agg_rent,1298100,2021
30706,agg_rent,1611200,2021
30800,agg_rent,1671900,2021
30900,agg_rent,1107700,2021
31000,agg_rent,1827300,2021
31100,agg_rent,3096900,2021
31200,agg_rent,2063100,2021
31300,agg_rent,2841100,2021
31400,agg_rent,2274900,2021
31501,agg_rent,1311200,2021
31502,agg_rent,1976800,2021
31700,agg_rent,2107800,2021
31800,agg_rent,723400,2021
31900,agg_rent,1089500,2021
32100,agg_rent,3773800,2021
40100,agg_rent,1239200,2021
40201,agg_rent,2702500,2021
40202,agg_rent,2451200,2021
40300,agg_rent,581300,2021
40401,agg_rent,835800,2021
40402,agg_rent,2493700,2021
40600,agg_rent,1183100,2021
40700,agg_rent,1275600,2021
40800,agg_rent,576700,2021
40900,agg_rent,783200,2021
50100,agg_rent,1040700,2021
50200,agg_rent,929700,2021
50300,agg_rent,600800,2021
50500,agg_rent,1258400,2021
50600,agg_rent,900900,2021
50700,agg_rent,448900,2021
50800,agg_rent,481700,2021
50900,agg_rent,584300,2021
51000,agg_rent,495500,2021
51100,agg_rent,565400,2021
51200,agg_rent,654500,2021
51300,agg_rent,520000,2021
51400,agg_rent,520800,2021
60100,agg_rent,974100,2021
