NAME,B25060_001E,state,county,tract
"Census Tract 8233.04, Cook County, Illinois",810100,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",318700,17,031,824507
"Census Tract 8248, Cook County, Illinois",565200,17,031,824800
"Census Tract 8249, Cook County, Illinois",262300,17,031,824900
"Census Tract 8254, Cook County, Illinois",572900,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",875000,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",687500,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",395900,17,031,825505
"Census Tract 5306, Cook County, Illinois",368100,17,031,530600
"Census Tract 3108, Cook County, Illinois",809500,17,031,310800
"Census Tract 3302, Cook County, Illinois",742200,17,031,330200
"Census Tract 3405, Cook County, Illinois",347200,17,031,340500
"Census Tract 3515, Cook County, Illinois",161400,17,031,351500
"Census Tract 3903, Cook County, Illinois",796800,17,031,390300
"Census Tract 4008, Cook County, Illinois",581900,17,031,400800
"Census Tract 4108, Cook County, Illinois",1059300,17,031,410800
"Census Tract 4203, Cook County, Illinois",420700,17,031,420300
"Census Tract 4302, Cook County, Illinois",1289800,17,031,430200
"Census Tract 4305, Cook County, Illinois",946400,17,031,430500
"Census Tract 4314, Cook County, Illinois",2199600,17,031,431400
"Census Tract 4407, Cook County, Illinois",147500,17,031,440700
"Census Tract 4701, Cook County, Illinois",286100,17,031,470100
"Census Tract 4801, Cook County, Illinois",147900,17,031,480100
"Census Tract 4911, Cook County, Illinois",312100,17,031,491100
"Census Tract 4913, Cook County, Illinois",256700,17,031,491300
"Census Tract 5101, Cook County, Illinois",219000,17,031,510100
"Census Tract 5201, Cook County, Illinois",127200,17,031,520100
"Census Tract 5301, Cook County, Illinois",223500,17,031,530100
"Census Tract 5302, Cook County, Illinois",511100,17,031,530200
"Census Tract 5601, Cook County, Illinois",57200,17,031,560100
"Census Tract 8016.03, Cook County, Illinois",1253300,17,031,801603
"Census Tract 8016.08, Cook County, Illinois",1040800,17,031,801608
"Census Tract 8019.01, Cook County, Illinois",449500,17,031,801901
"Census Tract 8024.02, Cook County, Illinois",611100,17,031,802402
"Census Tract 8030.10, Cook County, Illinois",264400,17,031,803010
"Census Tract 713, Cook County, Illinois",1571800,17,031,071300
"Census Tract 803, Cook County, Illinois",2312900,17,031,080300
"Census Tract 816, Cook County, Illinois",3495200,17,031,081600
"Census Tract 818, Cook County, Illinois",5454000,17,031,081800
"Census Tract 819, Cook County, Illinois",181300,17,031,081900
"Census Tract 5703, Cook County, Illinois",575600,17,031,570300
"Census Tract 6115, Cook County, Illinois",408400,17,031,611500
"Census Tract 6117, Cook County, Illinois",206600,17,031,611700
"Census Tract 6202, Cook County, Illinois",206800,17,031,620200
"Census Tract 8163, Cook County, Illinois",483600,17,031,816300
"Census Tract 8170, Cook County, Illinois",465300,17,031,817000
"Census Tract 8185, Cook County, Illinois",186400,17,031,818500
"Census Tract 8187, Cook County, Illinois",213900,17,031,818700
"Census Tract 2001, Cook County, Illinois",544900,17,031,200100
"Census Tract 1609, Cook County, Illinois",453800,17,031,160900
"Census Tract 1709, Cook County, Illinois",165200,17,031,170900
"Census Tract 2203, Cook County, Illinois",587100,17,031,220300
"Census Tract 6301, Cook County, Illinois",86200,17,031,630100
"Census Tract 6610, Cook County, Illinois",645500,17,031,661000
"Census Tract 6702, Cook County, Illinois",96000,17,031,670200
"Census Tract 104, Cook County, Illinois",1567500,17,031,010400
"Census Tract 3801, Cook County, Illinois",493400,17,031,380100
"Census Tract 6718, Cook County, Illinois",141600,17,031,671800
"Census Tract 6911, Cook County, Illinois",472400,17,031,691100
"Census Tract 5303, Cook County, Illinois",230600,17,031,530300
"Census Tract 5609, Cook County, Illinois",186000,17,031,560900
"Census Tract 5803, Cook County, Illinois",196100,17,031,580300
"Census Tract 6113, Cook County, Illinois",340100,17,031,611300
"Census Tract 6116, Cook County, Illinois",130200,17,031,611600
"Census Tract 6203, Cook County, Illinois",575700,17,031,620300
"Census Tract 6204, Cook County, Illinois",224500,17,031,620400
"Census Tract 8190, Cook County, Illinois",550900,17,031,819000
"Census Tract 8193, Cook County, Illinois",114800,17,031,819300
"Census Tract 8204, Cook County, Illinois",657200,17,031,820400
"Census Tract 8208, Cook County, Illinois",121900,17,031,820800
"Census Tract 1701, Cook County, Illinois",317200,17,031,170100
"Census Tract 1707, Cook County, Illinois",178200,17,031,170700
"Census Tract 1901, Cook County, Illinois",432800,17,031,190100
"Census Tract 2205, Cook County, Illinois",968300,17,031,220500
"Census Tract 2227, Cook County, Illinois",617400,17,031,222700
"Census Tract 2312, Cook County, Illinois",882700,17,031,231200
"Census Tract 2315, Cook County, Illinois",770400,17,031,231500
"Census Tract 2405, Cook County, Illinois",579600,17,031,240500
"Census Tract 2409, Cook County, Illinois",306300,17,031,240900
"Census Tract 2422, Cook County, Illinois",1577500,17,031,242200
"Census Tract 2435, Cook County, Illinois",1836700,17,031,243500
"Census Tract 2505, Cook County, Illinois",681700,17,031,250500
"Census Tract 2510, Cook County, Illinois",91100,17,031,251000
"Census Tract 2514, Cook County, Illinois",778000,17,031,251400
"Census Tract 2608, Cook County, Illinois",491600,17,031,260800
"Census Tract 501, Cook County, Illinois",899700,17,031,050100
"Census Tract 507, Cook County, Illinois",351400,17,031,050700
"Census Tract 621, Cook County, Illinois",1679400,17,031,062100
"Census Tract 6201, Cook County, Illinois",239600,17,031,620100
"Census Tract 6308, Cook County, Illinois",519800,17,031,630800
"Census Tract 6407, Cook County, Illinois",233400,17,031,640700
"Census Tract 6501, Cook County, Illinois",407500,17,031,650100
"Census Tract 6705, Cook County, Illinois",111600,17,031,670500
"Census Tract 6719, Cook County, Illinois",71600,17,031,671900
"Census Tract 8300.06, Cook County, Illinois",169000,17,031,830006
"Census Tract 8302.01, Cook County, Illinois",1253800,17,031,830201
"Census Tract 8088, Cook County, Illinois",474700,17,031,808800
"Census Tract 8092, Cook County, Illinois",703600,17,031,809200
"Census Tract 8105.01, Cook County, Illinois",335800,17,031,810501
"Census Tract 8111, Cook County, Illinois",1097200,17,031,811100
"Census Tract 8112, Cook County, Illinois",418900,17,031,811200
"Census Tract 8125, Cook County, Illinois",698800,17,031,812500
"Census Tract 8127, Cook County, Illinois",985400,17,031,812700
"Census Tract 8140, Cook County, Illinois",440400,17,031,814000
"Census Tract 8150, Cook County, Illinois",614000,17,031,815000
"Census Tract 8154, Cook County, Illinois",934700,17,031,815400
"Census Tract 8166, Cook County, Illinois",439200,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",616500,17,031,817101
"Census Tract 8172, Cook County, Illinois",578000,17,031,817200
"Census Tract 8174, Cook County, Illinois",305000,17,031,817400
"Census Tract 8199, Cook County, Illinois",66900,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",253200,17,031,820501
"Census Tract 8224, Cook County, Illinois",626300,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",133400,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",365700,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",53900,17,031,823604
"Census Tract 2003, Cook County, Illinois",277600,17,031,200300
"Census Tract 1101, Cook County, Illinois",753300,17,031,110100
"Census Tract 1102, Cook County, Illinois",557900,17,031,110200
"Census Tract 1302, Cook County, Illinois",180500,17,031,130200
"Census Tract 8030.05, Cook County, Illinois",265900,17,031,803005
"Census Tract 8033, Cook County, Illinois",1624800,17,031,803300
"Census Tract 8036.05, Cook County, Illinois",582800,17,031,803605
"Census Tract 2718, Cook County, Illinois",79800,17,031,271800
"Census Tract 2808, Cook County, Illinois",141100,17,031,280800
"Census Tract 2809, Cook County, Illinois",172800,17,031,280900
"Census Tract 2819, Cook County, Illinois",4336100,17,031,281900
"Census Tract 2912, Cook County, Illinois",518100,17,031,291200
"Census Tract 8039.02, Cook County, Illinois",231400,17,031,803902
"Census Tract 8041.04, Cook County, Illinois",391100,17,031,804104
