NAME,B25060_001E,state,county,tract
Census Tract 101; Cook County; Illinois,1678400,17,031,010100
Census Tract 102.01; Cook County; Illinois,2580500,17,031,010201
Census Tract 102.02; Cook County; Illinois,1084900,17,031,010202
Census Tract 103; Cook County; Illinois,2246900,17,031,010300
Census Tract 104; Cook County; Illinois,1703100,17,031,010400
Census Tract 105.01; Cook County; Illinois,2133800,17,031,010501
Census Tract 105.02; Cook County; Illinois,1427000,17,031,010502
Census Tract 105.03; Cook County; Illinois,1082500,17,031,010503
Census Tract 106; Cook County; Illinois,2024000,17,031,010600
Census Tract 107.01; Cook County; Illinois,949900,17,031,010701
Census Tract 107.02; Cook County; Illinois,1887600,17,031,010702
Census Tract 201; Cook County; Illinois,1346300,17,031,020100
Census Tract 202; Cook County; Illinois,551900,17,031,020200
Census Tract 203.01; Cook County; Illinois,748500,17,031,020301
Census Tract 203.02; Cook County; Illinois,868600,17,031,020302
Census Tract 204; Cook County; Illinois,1106800,17,031,020400
Census Tract 205; Cook County; Illinois,1576100,17,031,020500
Census Tract 206.01; Cook County; Illinois,1165800,17,031,020601
Census Tract 206.02; Cook County; Illinois,940100,17,031,020602
Census Tract 207.01; Cook County; Illinois,296700,17,031,020701
Census Tract 207.02; Cook County; Illinois,1734400,17,031,020702
Census Tract 208.01; Cook County; Illinois,1471800,17,031,020801
Census Tract 208.02; Cook County; Illinois,1720900,17,031,020802
Census Tract 209.01; Cook County; Illinois,1631300,17,031,020901
Census Tract 209.02; Cook County; Illinois,1070200,17,031,020902
Census Tract 301.01; Cook County; Illinois,1453900,17,031,030101
Census Tract 301.02; Cook County; Illinois,1147700,17,031,030102
Census Tract 301.03; Cook County; Illinois,889700,17,031,030103
Census Tract 301.04; Cook County; Illinois,780800,17,031,030104
Census Tract 302; Cook County; Illinois,1759000,17,031,030200
Census Tract 303; Cook County; Illinois,1050900,17,031,030300
Census Tract 304; Cook County; Illinois,1113700,17,031,030400
Census Tract 305; Cook County; Illinois,2264100,17,031,030500
Census Tract 306.01; Cook County; Illinois,1558700,17,031,030601
Census Tract 306.03; Cook County; Illinois,1295300,17,031,030603
Census Tract 306.04; Cook County; Illinois,1721300,17,031,030604
