id,indicator_id,census_tract_id,sub_group_indicator_name,year,value
1,2,430200,male_age,2018,33
2,2,430500,male_age,2018,21
3,2,431400,male_age,2018,42
4,2,440700,male_age,2018,49
5,2,470100,male_age,2018,33
6,2,821402,male_age,2018,45
7,2,822101,male_age,2018,38
8,2,823102,male_age,2018,41
9,2,823304,male_age,2018,36
10,2,824507,male_age,2018,43
11,2,824800,male_age,2018,26
12,2,824900,male_age,2018,27
13,2,825400,male_age,2018,38
14,2,825501,male_age,2018,34
15,2,825503,male_age,2018,32
16,2,825505,male_age,2018,42
17,2,826202,male_age,2018,29
18,2,803603,male_age,2018,46
19,2,803610,male_age,2018,35
20,2,804201,male_age,2018,46
21,2,817500,male_age,2018,37
22,2,817700,male_age,2018,42
23,2,817900,male_age,2018,46
24,2,821401,male_age,2018,29
25,2,820104,male_age,2018,36
26,2,820201,male_age,2018,45
27,2,821200,male_age,2018,33
28,2,821600,male_age,2018,35
29,2,821700,male_age,2018,34
30,2,822102,male_age,2018,43
31,2,222600,male_age,2018,31
32,2,230800,male_age,2018,30
33,2,240700,male_age,2018,30
34,2,241000,male_age,2018,31
35,2,61200,male_age,2018,26
36,2,61500,male_age,2018,29
37,2,62900,male_age,2018,30
38,2,210700,male_age,2018,33
39,2,221100,male_age,2018,32
40,2,221200,male_age,2018,30
41,2,63000,male_age,2018,30
42,2,71200,male_age,2018,30
43,2,81500,male_age,2018,37
44,2,90300,male_age,2018,40
45,2,130300,male_age,2018,32
46,2,100600,male_age,2018,40
47,2,110400,male_age,2018,43
48,2,120200,male_age,2018,37
49,2,691000,male_age,2018,37
50,2,710400,male_age,2018,30
51,2,740400,male_age,2018,38
52,2,770800,male_age,2018,42
53,2,800800,male_age,2018,47
54,2,81000,male_age,2018,31
55,2,30400,male_age,2018,36
56,2,480100,male_age,2018,44
57,2,491100,male_age,2018,44
58,2,491300,male_age,2018,28
59,2,510100,male_age,2018,34
60,2,520100,male_age,2018,31
61,2,530100,male_age,2018,32
62,2,530200,male_age,2018,33
63,2,560100,male_age,2018,43
64,2,580100,male_age,2018,32
65,2,580600,male_age,2018,28
66,2,590500,male_age,2018,36
67,2,600400,male_age,2018,33
68,2,819100,male_age,2018,33
69,2,819600,male_age,2018,36
70,2,827804,male_age,2018,42
71,2,60200,male_age,2018,31
72,2,61000,male_age,2018,30
73,2,62400,male_age,2018,34
74,2,70200,male_age,2018,30
75,2,70300,male_age,2018,27
76,2,10600,male_age,2018,31
77,2,20400,male_age,2018,38
78,2,31000,male_age,2018,37
79,2,40300,male_age,2018,46
80,2,50600,male_age,2018,40
81,2,60500,male_age,2018,41
82,2,60900,male_age,2018,38
83,2,150700,male_age,2018,34
84,2,161300,male_age,2018,35
85,2,210400,male_age,2018,33
86,2,210800,male_age,2018,28
87,2,221600,male_age,2018,31
88,2,801800,male_age,2018,48
89,2,802900,male_age,2018,43
90,2,803604,male_age,2018,48
91,2,803800,male_age,2018,41
92,2,804505,male_age,2018,35
93,2,804701,male_age,2018,31
94,2,804706,male_age,2018,37
95,2,824005,male_age,2018,42
96,2,824006,male_age,2018,50
97,2,824113,male_age,2018,44
98,2,824114,male_age,2018,43
99,2,824115,male_age,2018,39
100,2,824116,male_age,2018,35
101,2,804000,male_age,2018,41
102,2,140601,male_age,2018,37
103,2,140701,male_age,2018,34
104,2,140702,male_age,2018,35
105,2,150401,male_age,2018,39
106,2,150402,male_age,2018,36
107,2,150501,male_age,2018,42
108,2,150502,male_age,2018,35
109,2,151001,male_age,2018,35
110,2,151002,male_age,2018,34
111,2,160502,male_age,2018,30
112,2,160601,male_age,2018,35
113,2,808800,male_age,2018,39
114,2,809200,male_age,2018,29
115,2,810501,male_age,2018,38
116,2,811100,male_age,2018,38
117,2,811200,male_age,2018,37
118,2,812500,male_age,2018,38
119,2,812700,male_age,2018,41
120,2,814000,male_age,2018,30
121,2,815000,male_age,2018,33
122,2,815400,male_age,2018,38
123,2,816600,male_age,2018,32
124,2,827500,male_age,2018,35
125,2,827801,male_age,2018,34
126,2,828506,male_age,2018,33
127,2,829100,male_age,2018,33
128,2,829500,male_age,2018,35
129,2,830004,male_age,2018,36
130,2,830005,male_age,2018,47
131,2,830006,male_age,2018,30
132,2,830201,male_age,2018,31
133,2,804406,male_age,2018,30
134,2,804506,male_age,2018,41
135,2,804507,male_age,2018,39
136,2,814500,male_age,2018,32
137,2,815701,male_age,2018,42
138,2,816700,male_age,2018,34
139,2,826600,male_age,2018,29
140,2,381700,male_age,2018,-666666666
141,2,390100,male_age,2018,30
142,2,380700,male_age,2018,45
143,2,381200,male_age,2018,35
144,2,390200,male_age,2018,41
145,2,400300,male_age,2018,31
146,2,400500,male_age,2018,24
147,2,410100,male_age,2018,35
148,2,160602,male_age,2018,35
149,2,160501,male_age,2018,35
150,2,190601,male_age,2018,32
151,2,190401,male_age,2018,36
152,2,190402,male_age,2018,36
153,2,10201,male_age,2018,37
154,2,10502,male_age,2018,31
155,2,10202,male_age,2018,37
156,2,10501,male_age,2018,40
157,2,10503,male_age,2018,41
158,2,10701,male_age,2018,33
159,2,10702,male_age,2018,31
160,2,20302,male_age,2018,37
161,2,20602,male_age,2018,30
162,2,20701,male_age,2018,38
163,2,20301,male_age,2018,33
164,2,20601,male_age,2018,39
165,2,20702,male_age,2018,29
166,2,20801,male_age,2018,37
167,2,20802,male_age,2018,31
168,2,20901,male_age,2018,32
169,2,20902,male_age,2018,34
170,2,271400,male_age,2018,25
171,2,280100,male_age,2018,33
172,2,823500,male_age,2018,35
173,2,821500,male_age,2018,33
174,2,821800,male_age,2018,35
175,2,823400,male_age,2018,33
176,2,310300,male_age,2018,36
177,2,823901,male_age,2018,53
178,2,824601,male_age,2018,42
179,2,824702,male_age,2018,36
180,2,200200,male_age,2018,34
181,2,221400,male_age,2018,32
182,2,817101,male_age,2018,35
183,2,817200,male_age,2018,36
184,2,817400,male_age,2018,33
185,2,819900,male_age,2018,43
186,2,820501,male_age,2018,41
187,2,822400,male_age,2018,35
188,2,822802,male_age,2018,43
189,2,823303,male_age,2018,35
190,2,31400,male_age,2018,39
191,2,40600,male_age,2018,36
192,2,817600,male_age,2018,35
193,2,818402,male_age,2018,41
194,2,826800,male_age,2018,30
195,2,826902,male_age,2018,41
196,2,510200,male_age,2018,38
197,2,570500,male_age,2018,29
198,2,600600,male_age,2018,31
199,2,611200,male_age,2018,27
200,2,640800,male_age,2018,32
201,2,670900,male_age,2018,33
202,2,691300,male_age,2018,35
203,2,430700,male_age,2018,39
204,2,490400,male_age,2018,38
205,2,824106,male_age,2018,42
206,2,806802,male_age,2018,44
207,2,809400,male_age,2018,30
208,2,610300,male_age,2018,25
209,2,611800,male_age,2018,35
210,2,681200,male_age,2018,19
211,2,711000,male_age,2018,52
212,2,800600,male_age,2018,41
213,2,804305,male_age,2018,38
214,2,809900,male_age,2018,42
215,2,811702,male_age,2018,36
216,2,816000,male_age,2018,35
217,2,819400,male_age,2018,40
218,2,210900,male_age,2018,30
219,2,260200,male_age,2018,21
220,2,815500,male_age,2018,29
221,2,818000,male_age,2018,39
222,2,822900,male_age,2018,38
223,2,823904,male_age,2018,45
224,2,826402,male_age,2018,31
225,2,829401,male_age,2018,35
226,2,241100,male_age,2018,30
227,2,242000,male_age,2018,30
228,2,242100,male_age,2018,30
229,2,250600,male_age,2018,42
230,2,251100,male_age,2018,29
231,2,30900,male_age,2018,39
232,2,31900,male_age,2018,31
233,2,50200,male_age,2018,37
234,2,802100,male_age,2018,45
235,2,802801,male_age,2018,44
236,2,803100,male_age,2018,41
237,2,803607,male_age,2018,38
238,2,804606,male_age,2018,42
239,2,804705,male_age,2018,33
240,2,804710,male_age,2018,45
241,2,804711,male_age,2018,31
242,2,805106,male_age,2018,42
243,2,805109,male_age,2018,48
244,2,805002,male_age,2018,37
245,2,804803,male_age,2018,37
246,2,804808,male_age,2018,43
247,2,804902,male_age,2018,44
248,2,805112,male_age,2018,45
249,2,805502,male_age,2018,46
250,2,805801,male_age,2018,40
251,2,806700,male_age,2018,46
252,2,807800,male_age,2018,40
253,2,809000,male_age,2018,44
254,2,809100,male_age,2018,41
255,2,810302,male_age,2018,40
256,2,810502,male_age,2018,44
257,2,810701,male_age,2018,33
258,2,810800,male_age,2018,39
259,2,811402,male_age,2018,40
260,2,811500,male_age,2018,38
261,2,811900,male_age,2018,42
262,2,191000,male_age,2018,35
263,2,805600,male_age,2018,39
264,2,806004,male_age,2018,36
265,2,807200,male_age,2018,44
266,2,807500,male_age,2018,40
267,2,828505,male_age,2018,45
268,2,828701,male_age,2018,37
269,2,829000,male_age,2018,23
270,2,829402,male_age,2018,35
271,2,100200,male_age,2018,39
272,2,100300,male_age,2018,45
273,2,120400,male_age,2018,40
274,2,150300,male_age,2018,37
275,2,151200,male_age,2018,40
276,2,160200,male_age,2018,37
277,2,170400,male_age,2018,42
278,2,170800,male_age,2018,39
279,2,180100,male_age,2018,34
280,2,252000,male_age,2018,31
281,2,260100,male_age,2018,46
282,2,260700,male_age,2018,27
283,2,271300,male_age,2018,18
284,2,81700,male_age,2018,32
285,2,100100,male_age,2018,37
286,2,100500,male_age,2018,43
287,2,130100,male_age,2018,40
288,2,140200,male_age,2018,30
289,2,140500,male_age,2018,34
290,2,160300,male_age,2018,32
291,2,160800,male_age,2018,36
292,2,811600,male_age,2018,40
293,2,811800,male_age,2018,36
294,2,814400,male_age,2018,25
295,2,815702,male_age,2018,40
296,2,815800,male_age,2018,43
297,2,816100,male_age,2018,39
298,2,816300,male_age,2018,35
299,2,817000,male_age,2018,38
300,2,818500,male_age,2018,53
301,2,818700,male_age,2018,39
302,2,200100,male_age,2018,34
303,2,160900,male_age,2018,39
304,2,824117,male_age,2018,39
305,2,824119,male_age,2018,48
306,2,824120,male_age,2018,47
307,2,824121,male_age,2018,37
308,2,824122,male_age,2018,39
309,2,824123,male_age,2018,36
310,2,825303,male_age,2018,33
311,2,825304,male_age,2018,32
312,2,830007,male_age,2018,26
313,2,830008,male_age,2018,37
314,2,830500,male_age,2018,30
315,2,830600,male_age,2018,34
316,2,830700,male_age,2018,40
317,2,830800,male_age,2018,31
318,2,830900,male_age,2018,34
319,2,831000,male_age,2018,36
320,2,831100,male_age,2018,32
321,2,831200,male_age,2018,35
322,2,831300,male_age,2018,40
323,2,831400,male_age,2018,31
324,2,831500,male_age,2018,35
325,2,831600,male_age,2018,31
326,2,831700,male_age,2018,28
327,2,831800,male_age,2018,30
328,2,831900,male_age,2018,30
329,2,832000,male_age,2018,29
330,2,832100,male_age,2018,29
331,2,832200,male_age,2018,32
332,2,832300,male_age,2018,30
333,2,832400,male_age,2018,31
334,2,832500,male_age,2018,29
335,2,410200,male_age,2018,26
336,2,410600,male_age,2018,30
337,2,411000,male_age,2018,47
338,2,430800,male_age,2018,31
339,2,430900,male_age,2018,36
340,2,440300,male_age,2018,42
341,2,440600,male_age,2018,39
342,2,460600,male_age,2018,31
343,2,40700,male_age,2018,34
344,2,40900,male_age,2018,36
345,2,60100,male_age,2018,37
346,2,60300,male_age,2018,30
347,2,60400,male_age,2018,30
