NAME,S1902_C03_019E,state,county,tract
"Census Tract 6302, Cook County, Illinois",16850,17,031,630200
"Census Tract 5807, Cook County, Illinois",16718,17,031,580700
"Census Tract 5906, Cook County, Illinois",21015,17,031,590600
"Census Tract 6007, Cook County, Illinois",29155,17,031,600700
"Census Tract 6119, Cook County, Illinois",13196,17,031,611900
"Census Tract 8045.05, Cook County, Illinois",39153,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",32386,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",41681,17,031,804706
"Census Tract 8240.05, Cook County, Illinois",49315,17,031,824005
"Census Tract 8240.06, Cook County, Illinois",45960,17,031,824006
"Census Tract 8241.13, Cook County, Illinois",39020,17,031,824113
"Census Tract 8241.14, Cook County, Illinois",53049,17,031,824114
"Census Tract 8241.15, Cook County, Illinois",29396,17,031,824115
"Census Tract 8241.16, Cook County, Illinois",36029,17,031,824116
"Census Tract 8241.17, Cook County, Illinois",42180,17,031,824117
"Census Tract 8241.19, Cook County, Illinois",45979,17,031,824119
"Census Tract 8241.20, Cook County, Illinois",55699,17,031,824120
"Census Tract 8241.21, Cook County, Illinois",35869,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",38716,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",33781,17,031,824123
"Census Tract 8253.03, Cook County, Illinois",35316,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",35337,17,031,825304
"Census Tract 8300.07, Cook County, Illinois",20130,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",32144,17,031,830008
"Census Tract 8305, Cook County, Illinois",15572,17,031,830500
"Census Tract 8306, Cook County, Illinois",32020,17,031,830600
"Census Tract 8307, Cook County, Illinois",35473,17,031,830700
"Census Tract 8308, Cook County, Illinois",55574,17,031,830800
"Census Tract 8309, Cook County, Illinois",58583,17,031,830900
"Census Tract 8310, Cook County, Illinois",104412,17,031,831000
"Census Tract 8311, Cook County, Illinois",29946,17,031,831100
"Census Tract 8060.04, Cook County, Illinois",28988,17,031,806004
"Census Tract 8119, Cook County, Illinois",79867,17,031,811900
"Census Tract 1910, Cook County, Illinois",19836,17,031,191000
"Census Tract 8056, Cook County, Illinois",60800,17,031,805600
"Census Tract 8020.02, Cook County, Illinois",52985,17,031,802002
"Census Tract 8025.04, Cook County, Illinois",31173,17,031,802504
"Census Tract 8027.02, Cook County, Illinois",41990,17,031,802702
"Census Tract 8030.08, Cook County, Illinois",49924,17,031,803008
"Census Tract 8032, Cook County, Illinois",50269,17,031,803200
"Census Tract 8035, Cook County, Illinois",51179,17,031,803500
"Census Tract 8041.02, Cook County, Illinois",67353,17,031,804102
"Census Tract 8245.05, Cook County, Illinois",34579,17,031,824505
"Census Tract 8259, Cook County, Illinois",23905,17,031,825900
"Census Tract 8260, Cook County, Illinois",16497,17,031,826000
"Census Tract 8261, Cook County, Illinois",18159,17,031,826100
"Census Tract 8263.04, Cook County, Illinois",21738,17,031,826304
"Census Tract 2423, Cook County, Illinois",67793,17,031,242300
"Census Tract 7608.01, Cook County, Illinois",35541,17,031,760801
"Census Tract 4903, Cook County, Illinois",24900,17,031,490300
"Census Tract 4907, Cook County, Illinois",22342,17,031,490700
"Census Tract 5001, Cook County, Illinois",29966,17,031,500100
"Census Tract 5204, Cook County, Illinois",21311,17,031,520400
"Census Tract 8209.02, Cook County, Illinois",28118,17,031,820902
"Census Tract 8210.01, Cook County, Illinois",27049,17,031,821001
"Census Tract 8210.02, Cook County, Illinois",28114,17,031,821002
"Census Tract 8222, Cook County, Illinois",31827,17,031,822200
"Census Tract 8225, Cook County, Illinois",33149,17,031,822500
"Census Tract 8228.01, Cook County, Illinois",39493,17,031,822801
"Census Tract 8232, Cook County, Illinois",30079,17,031,823200
"Census Tract 8236.03, Cook County, Illinois",12989,17,031,823603
"Census Tract 8237.05, Cook County, Illinois",27966,17,031,823705
"Census Tract 8241.07, Cook County, Illinois",40195,17,031,824107
