NAME,S1501_C01_059E,state,county,tract
"Census Tract 101, Cook County, Illinois",43829,17,031,010100
"Census Tract 102.01, Cook County, Illinois",36176,17,031,010201
"Census Tract 102.02, Cook County, Illinois",30365,17,031,010202
"Census Tract 103, Cook County, Illinois",46552,17,031,010300
"Census Tract 104, Cook County, Illinois",44372,17,031,010400
"Census Tract 105.01, Cook County, Illinois",42844,17,031,010501
"Census Tract 105.02, Cook County, Illinois",43106,17,031,010502
"Census Tract 105.03, Cook County, Illinois",50034,17,031,010503
"Census Tract 106, Cook County, Illinois",40285,17,031,010600
"Census Tract 107.01, Cook County, Illinois",35661,17,031,010701
"Census Tract 107.02, Cook County, Illinois",35176,17,031,010702
"Census Tract 201, Cook County, Illinois",30902,17,031,020100
"Census Tract 202, Cook County, Illinois",50483,17,031,020200
"Census Tract 203.01, Cook County, Illinois",36452,17,031,020301
"Census Tract 203.02, Cook County, Illinois",55452,17,031,020302
"Census Tract 204, Cook County, Illinois",37135,17,031,020400
"Census Tract 205, Cook County, Illinois",31981,17,031,020500
"Census Tract 206.01, Cook County, Illinois",42617,17,031,020601
"Census Tract 206.02, Cook County, Illinois",45186,17,031,020602
"Census Tract 207.01, Cook County, Illinois",52690,17,031,020701
"Census Tract 207.02, Cook County, Illinois",31764,17,031,020702
"Census Tract 208.01, Cook County, Illinois",37048,17,031,020801
"Census Tract 208.02, Cook County, Illinois",30329,17,031,020802
"Census Tract 209.01, Cook County, Illinois",33438,17,031,020901
"Census Tract 209.02, Cook County, Illinois",27268,17,031,020902
"Census Tract 301.01, Cook County, Illinois",36340,17,031,030101
"Census Tract 301.02, Cook County, Illinois",42758,17,031,030102
"Census Tract 301.03, Cook County, Illinois",43906,17,031,030103
"Census Tract 301.04, Cook County, Illinois",38221,17,031,030104
"Census Tract 302, Cook County, Illinois",52654,17,031,030200
"Census Tract 303, Cook County, Illinois",34929,17,031,030300
"Census Tract 304, Cook County, Illinois",62891,17,031,030400
"Census Tract 305, Cook County, Illinois",61797,17,031,030500
"Census Tract 306.01, Cook County, Illinois",41793,17,031,030601
"Census Tract 306.03, Cook County, Illinois",38694,17,031,030603
"Census Tract 306.04, Cook County, Illinois",49830,17,031,030604
"Census Tract 307.01, Cook County, Illinois",47232,17,031,030701
"Census Tract 307.02, Cook County, Illinois",57135,17,031,030702
"Census Tract 307.03, Cook County, Illinois",63393,17,031,030703
"Census Tract 307.06, Cook County, Illinois",52170,17,031,030706
"Census Tract 308, Cook County, Illinois",59468,17,031,030800
"Census Tract 309, Cook County, Illinois",66789,17,031,030900
"Census Tract 310, Cook County, Illinois",63267,17,031,031000
"Census Tract 311, Cook County, Illinois",51375,17,031,031100
"Census Tract 312, Cook County, Illinois",39650,17,031,031200
"Census Tract 313, Cook County, Illinois",57972,17,031,031300
"Census Tract 314, Cook County, Illinois",73776,17,031,031400
"Census Tract 315.01, Cook County, Illinois",28903,17,031,031501
"Census Tract 315.02, Cook County, Illinois",45078,17,031,031502
"Census Tract 317, Cook County, Illinois",51879,17,031,031700
"Census Tract 318, Cook County, Illinois",62446,17,031,031800
"Census Tract 319, Cook County, Illinois",66985,17,031,031900
"Census Tract 321, Cook County, Illinois",57579,17,031,032100
"Census Tract 401, Cook County, Illinois",59286,17,031,040100
"Census Tract 402.01, Cook County, Illinois",54235,17,031,040201
"Census Tract 402.02, Cook County, Illinois",31260,17,031,040202
"Census Tract 403, Cook County, Illinois",51237,17,031,040300
"Census Tract 404.01, Cook County, Illinois",65477,17,031,040401
"Census Tract 404.02, Cook County, Illinois",67703,17,031,040402
"Census Tract 406, Cook County, Illinois",54678,17,031,040600
"Census Tract 407, Cook County, Illinois",54969,17,031,040700
"Census Tract 408, Cook County, Illinois",68102,17,031,040800
"Census Tract 409, Cook County, Illinois",50517,17,031,040900
"Census Tract 501, Cook County, Illinois",66349,17,031,050100
"Census Tract 502, Cook County, Illinois",89858,17,031,050200
"Census Tract 503, Cook County, Illinois",66901,17,031,050300
"Census Tract 505, Cook County, Illinois",84798,17,031,050500
"Census Tract 506, Cook County, Illinois",87825,17,031,050600
"Census Tract 507, Cook County, Illinois",76490,17,031,050700
"Census Tract 508, Cook County, Illinois",70000,17,031,050800
"Census Tract 509, Cook County, Illinois",66958,17,031,050900
"Census Tract 510, Cook County, Illinois",89015,17,031,051000
"Census Tract 511, Cook County, Illinois",81250,17,031,051100
"Census Tract 512, Cook County, Illinois",82000,17,031,051200
"Census Tract 513, Cook County, Illinois",104875,17,031,051300
"Census Tract 514, Cook County, Illinois",88264,17,031,051400
"Census Tract 601, Cook County, Illinois",74152,17,031,060100
"Census Tract 602, Cook County, Illinois",60018,17,031,060200
"Census Tract 603, Cook County, Illinois",78512,17,031,060300
"Census Tract 604, Cook County, Illinois",90819,17,031,060400
"Census Tract 605, Cook County, Illinois",68482,17,031,060500
"Census Tract 608, Cook County, Illinois",66798,17,031,060800
"Census Tract 609, Cook County, Illinois",65852,17,031,060900
"Census Tract 610, Cook County, Illinois",82530,17,031,061000
"Census Tract 611, Cook County, Illinois",57449,17,031,061100
"Census Tract 612, Cook County, Illinois",66477,17,031,061200
"Census Tract 615, Cook County, Illinois",68199,17,031,061500
"Census Tract 618, Cook County, Illinois",47500,17,031,061800
"Census Tract 619.01, Cook County, Illinois",59318,17,031,061901
"Census Tract 619.02, Cook County, Illinois",66567,17,031,061902
"Census Tract 620, Cook County, Illinois",62337,17,031,062000
"Census Tract 621, Cook County, Illinois",68220,17,031,062100
"Census Tract 622, Cook County, Illinois",98385,17,031,062200
"Census Tract 623, Cook County, Illinois",112303,17,031,062300
"Census Tract 624, Cook County, Illinois",107315,17,031,062400
"Census Tract 625, Cook County, Illinois",82143,17,031,062500
"Census Tract 626, Cook County, Illinois",102656,17,031,062600
"Census Tract 627, Cook County, Illinois",80000,17,031,062700
"Census Tract 628, Cook County, Illinois",79130,17,031,062800
"Census Tract 629, Cook County, Illinois",89245,17,031,062900
"Census Tract 630, Cook County, Illinois",67992,17,031,063000
"Census Tract 631, Cook County, Illinois",78243,17,031,063100
"Census Tract 632, Cook County, Illinois",61191,17,031,063200
"Census Tract 633.01, Cook County, Illinois",66380,17,031,063301
"Census Tract 633.02, Cook County, Illinois",77779,17,031,063302
"Census Tract 633.03, Cook County, Illinois",87232,17,031,063303
"Census Tract 634, Cook County, Illinois",76313,17,031,063400
"Census Tract 701.01, Cook County, Illinois",67184,17,031,070101
"Census Tract 701.02, Cook County, Illinois",54544,17,031,070102
"Census Tract 701.03, Cook County, Illinois",67964,17,031,070103
"Census Tract 702, Cook County, Illinois",71806,17,031,070200
"Census Tract 703, Cook County, Illinois",105244,17,031,070300
"Census Tract 704, Cook County, Illinois",125588,17,031,070400
"Census Tract 705, Cook County, Illinois",83102,17,031,070500
"Census Tract 706, Cook County, Illinois",132930,17,031,070600
"Census Tract 707, Cook County, Illinois",90063,17,031,070700
"Census Tract 710, Cook County, Illinois",92875,17,031,071000
