NAME,S1903_C03_001E,state,county,tract
"Census Tract 101, Cook County, Illinois",60316,17,031,010100
"Census Tract 102.01, Cook County, Illinois",43750,17,031,010201
"Census Tract 102.02, Cook County, Illinois",45096,17,031,010202
"Census Tract 103, Cook County, Illinois",60846,17,031,010300
"Census Tract 104, Cook County, Illinois",43024,17,031,010400
"Census Tract 105.01, Cook County, Illinois",47364,17,031,010501
"Census Tract 105.02, Cook County, Illinois",48831,17,031,010502
"Census Tract 105.03, Cook County, Illinois",16399,17,031,010503
"Census Tract 106, Cook County, Illinois",58993,17,031,010600
"Census Tract 107.01, Cook County, Illinois",64007,17,031,010701
"Census Tract 107.02, Cook County, Illinois",48799,17,031,010702
"Census Tract 201, Cook County, Illinois",50041,17,031,020100
"Census Tract 202, Cook County, Illinois",99987,17,031,020200
"Census Tract 203.01, Cook County, Illinois",62917,17,031,020301
"Census Tract 203.02, Cook County, Illinois",78987,17,031,020302
"Census Tract 204, Cook County, Illinois",63092,17,031,020400
"Census Tract 205, Cook County, Illinois",38271,17,031,020500
"Census Tract 206.01, Cook County, Illinois",57250,17,031,020601
"Census Tract 206.02, Cook County, Illinois",78293,17,031,020602
"Census Tract 207.01, Cook County, Illinois",83571,17,031,020701
"Census Tract 207.02, Cook County, Illinois",55451,17,031,020702
"Census Tract 208.01, Cook County, Illinois",57127,17,031,020801
"Census Tract 208.02, Cook County, Illinois",57224,17,031,020802
"Census Tract 209.01, Cook County, Illinois",47316,17,031,020901
"Census Tract 209.02, Cook County, Illinois",42816,17,031,020902
"Census Tract 301.01, Cook County, Illinois",40776,17,031,030101
"Census Tract 301.02, Cook County, Illinois",47366,17,031,030102
"Census Tract 301.03, Cook County, Illinois",54519,17,031,030103
"Census Tract 301.04, Cook County, Illinois",36318,17,031,030104
"Census Tract 302, Cook County, Illinois",92260,17,031,030200
"Census Tract 303, Cook County, Illinois",52382,17,031,030300
"Census Tract 304, Cook County, Illinois",92650,17,031,030400
"Census Tract 305, Cook County, Illinois",101063,17,031,030500
"Census Tract 306.01, Cook County, Illinois",46250,17,031,030601
"Census Tract 306.03, Cook County, Illinois",45263,17,031,030603
"Census Tract 306.04, Cook County, Illinois",55093,17,031,030604
"Census Tract 307.01, Cook County, Illinois",40357,17,031,030701
"Census Tract 307.02, Cook County, Illinois",66016,17,031,030702
"Census Tract 307.03, Cook County, Illinois",51750,17,031,030703
"Census Tract 307.06, Cook County, Illinois",58639,17,031,030706
"Census Tract 308, Cook County, Illinois",87065,17,031,030800
