NAME,S2701_C02_001E,state,county,tract
"Census Tract 101, Cook County, Illinois",3787,17,031,010100
"Census Tract 102.01, Cook County, Illinois",7329,17,031,010201
"Census Tract 102.02, Cook County, Illinois",2204,17,031,010202
"Census Tract 103, Cook County, Illinois",3963,17,031,010300
"Census Tract 104, Cook County, Illinois",4235,17,031,010400
"Census Tract 105.01, Cook County, Illinois",3613,17,031,010501
"Census Tract 105.02, Cook County, Illinois",2457,17,031,010502
"Census Tract 105.03, Cook County, Illinois",2140,17,031,010503
"Census Tract 106, Cook County, Illinois",5747,17,031,010600
"Census Tract 107.01, Cook County, Illinois",3010,17,031,010701
"Census Tract 107.02, Cook County, Illinois",4314,17,031,010702
"Census Tract 201, Cook County, Illinois",3248,17,031,020100
"Census Tract 202, Cook County, Illinois",6123,17,031,020200
"Census Tract 203.01, Cook County, Illinois",4739,17,031,020301
"Census Tract 203.02, Cook County, Illinois",4778,17,031,020302
"Census Tract 204, Cook County, Illinois",3339,17,031,020400
"Census Tract 205, Cook County, Illinois",5030,17,031,020500
"Census Tract 206.01, Cook County, Illinois",5464,17,031,020601
"Census Tract 206.02, Cook County, Illinois",4731,17,031,020602
"Census Tract 207.01, Cook County, Illinois",1650,17,031,020701
"Census Tract 207.02, Cook County, Illinois",8109,17,031,020702
"Census Tract 208.01, Cook County, Illinois",5039,17,031,020801
"Census Tract 208.02, Cook County, Illinois",6660,17,031,020802
"Census Tract 209.01, Cook County, Illinois",4719,17,031,020901
"Census Tract 209.02, Cook County, Illinois",3732,17,031,020902
"Census Tract 301.01, Cook County, Illinois",3245,17,031,030101
"Census Tract 301.02, Cook County, Illinois",2774,17,031,030102
"Census Tract 301.03, Cook County, Illinois",2269,17,031,030103
"Census Tract 301.04, Cook County, Illinois",2933,17,031,030104
"Census Tract 302, Cook County, Illinois",5134,17,031,030200
"Census Tract 303, Cook County, Illinois",3250,17,031,030300
"Census Tract 304, Cook County, Illinois",2458,17,031,030400
"Census Tract 305, Cook County, Illinois",6131,17,031,030500
"Census Tract 306.01, Cook County, Illinois",3440,17,031,030601
"Census Tract 306.03, Cook County, Illinois",2019,17,031,030603
"Census Tract 306.04, Cook County, Illinois",3042,17,031,030604
"Census Tract 307.01, Cook County, Illinois",1236,17,031,030701
"Census Tract 307.02, Cook County, Illinois",2211,17,031,030702
"Census Tract 307.03, Cook County, Illinois",2859,17,031,030703
"Census Tract 307.06, Cook County, Illinois",2650,17,031,030706
"Census Tract 308, Cook County, Illinois",3845,17,031,030800
"Census Tract 309, Cook County, Illinois",2917,17,031,030900
"Census Tract 310, Cook County, Illinois",3324,17,031,031000
"Census Tract 311, Cook County, Illinois",4379,17,031,031100
"Census Tract 312, Cook County, Illinois",4820,17,031,031200
"Census Tract 313, Cook County, Illinois",6323,17,031,031300
"Census Tract 314, Cook County, Illinois",4640,17,031,031400
"Census Tract 315.01, Cook County, Illinois",4222,17,031,031501
"Census Tract 315.02, Cook County, Illinois",3999,17,031,031502
"Census Tract 317, Cook County, Illinois",5884,17,031,031700
"Census Tract 318, Cook County, Illinois",1886,17,031,031800
"Census Tract 319, Cook County, Illinois",2493,17,031,031900
"Census Tract 321, Cook County, Illinois",6915,17,031,032100
"Census Tract 401, Cook County, Illinois",3598,17,031,040100
"Census Tract 402.01, Cook County, Illinois",6560,17,031,040201
"Census Tract 402.02, Cook County, Illinois",5899,17,031,040202
"Census Tract 403, Cook County, Illinois",2608,17,031,040300
"Census Tract 404.01, Cook County, Illinois",3265,17,031,040401
"Census Tract 404.02, Cook County, Illinois",4402,17,031,040402
"Census Tract 406, Cook County, Illinois",2580,17,031,040600
"Census Tract 407, Cook County, Illinois",3483,17,031,040700
"Census Tract 408, Cook County, Illinois",1566,17,031,040800
"Census Tract 409, Cook County, Illinois",1610,17,031,040900
"Census Tract 501, Cook County, Illinois",2654,17,031,050100
"Census Tract 502, Cook County, Illinois",5825,17,031,050200
"Census Tract 503, Cook County, Illinois",2679,17,031,050300
"Census Tract 505, Cook County, Illinois",5408,17,031,050500
"Census Tract 506, Cook County, Illinois",2176,17,031,050600
"Census Tract 507, Cook County, Illinois",1387,17,031,050700
"Census Tract 508, Cook County, Illinois",1439,17,031,050800
"Census Tract 509, Cook County, Illinois",1492,17,031,050900
"Census Tract 510, Cook County, Illinois",1718,17,031,051000
"Census Tract 511, Cook County, Illinois",1880,17,031,051100
"Census Tract 512, Cook County, Illinois",1462,17,031,051200
"Census Tract 513, Cook County, Illinois",3241,17,031,051300
"Census Tract 514, Cook County, Illinois",2311,17,031,051400
"Census Tract 601, Cook County, Illinois",3096,17,031,060100
"Census Tract 602, Cook County, Illinois",2134,17,031,060200
"Census Tract 603, Cook County, Illinois",2853,17,031,060300
"Census Tract 604, Cook County, Illinois",3745,17,031,060400
"Census Tract 605, Cook County, Illinois",1198,17,031,060500
"Census Tract 608, Cook County, Illinois",4986,17,031,060800
"Census Tract 609, Cook County, Illinois",6811,17,031,060900
"Census Tract 610, Cook County, Illinois",2266,17,031,061000
"Census Tract 611, Cook County, Illinois",1312,17,031,061100
"Census Tract 612, Cook County, Illinois",2020,17,031,061200
"Census Tract 615, Cook County, Illinois",1982,17,031,061500
"Census Tract 618, Cook County, Illinois",1184,17,031,061800
"Census Tract 619.01, Cook County, Illinois",3277,17,031,061901
"Census Tract 619.02, Cook County, Illinois",4524,17,031,061902
"Census Tract 620, Cook County, Illinois",3124,17,031,062000
"Census Tract 621, Cook County, Illinois",3304,17,031,062100
"Census Tract 622, Cook County, Illinois",3031,17,031,062200
"Census Tract 623, Cook County, Illinois",1606,17,031,062300
"Census Tract 624, Cook County, Illinois",1589,17,031,062400
"Census Tract 625, Cook County, Illinois",1518,17,031,062500
"Census Tract 626, Cook County, Illinois",2395,17,031,062600
"Census Tract 627, Cook County, Illinois",2987,17,031,062700
"Census Tract 628, Cook County, Illinois",3492,17,031,062800
"Census Tract 629, Cook County, Illinois",3853,17,031,062900
"Census Tract 630, Cook County, Illinois",3229,17,031,063000
"Census Tract 631, Cook County, Illinois",2252,17,031,063100
"Census Tract 632, Cook County, Illinois",6231,17,031,063200
"Census Tract 633.01, Cook County, Illinois",2851,17,031,063301
"Census Tract 633.02, Cook County, Illinois",3693,17,031,063302
"Census Tract 633.03, Cook County, Illinois",1166,17,031,063303
"Census Tract 634, Cook County, Illinois",2491,17,031,063400
"Census Tract 701.01, Cook County, Illinois",3895,17,031,070101
"Census Tract 701.02, Cook County, Illinois",3153,17,031,070102
"Census Tract 701.03, Cook County, Illinois",1379,17,031,070103
"Census Tract 702, Cook County, Illinois",3874,17,031,070200
"Census Tract 703, Cook County, Illinois",3436,17,031,070300
"Census Tract 704, Cook County, Illinois",3369,17,031,070400
"Census Tract 705, Cook County, Illinois",2967,17,031,070500
"Census Tract 706, Cook County, Illinois",3189,17,031,070600
"Census Tract 707, Cook County, Illinois",3728,17,031,070700
"Census Tract 710, Cook County, Illinois",4737,17,031,071000
"Census Tract 711, Cook County, Illinois",3338,17,031,071100
"Census Tract 712, Cook County, Illinois",2163,17,031,071200
"Census Tract 713, Cook County, Illinois",3903,17,031,071300
"Census Tract 714, Cook County, Illinois",4758,17,031,071400
"Census Tract 715, Cook County, Illinois",5854,17,031,071500
"Census Tract 716, Cook County, Illinois",1948,17,031,071600
"Census Tract 717, Cook County, Illinois",1599,17,031,071700
"Census Tract 718, Cook County, Illinois",2693,17,031,071800
"Census Tract 801, Cook County, Illinois",6738,17,031,080100
"Census Tract 802.01, Cook County, Illinois",3180,17,031,080201
"Census Tract 802.02, Cook County, Illinois",3618,17,031,080202
"Census Tract 803, Cook County, Illinois",4928,17,031,080300
"Census Tract 804, Cook County, Illinois",4616,17,031,080400
"Census Tract 810, Cook County, Illinois",7873,17,031,081000
"Census Tract 811, Cook County, Illinois",4300,17,031,081100
