NAME,S1902_C03_023E,state,county,tract
"Census Tract 2510, Cook County, Illinois",-666666666,17,031,251000
"Census Tract 2511, Cook County, Illinois",-999999999,17,031,251100
"Census Tract 2512, Cook County, Illinois",-666666666,17,031,251200
"Census Tract 2513, Cook County, Illinois",-666666666,17,031,251300
"Census Tract 2514, Cook County, Illinois",-666666666,17,031,251400
"Census Tract 2515, Cook County, Illinois",-666666666,17,031,251500
"Census Tract 2516, Cook County, Illinois",-666666666,17,031,251600
"Census Tract 2517, Cook County, Illinois",-666666666,17,031,251700
"Census Tract 2518, Cook County, Illinois",-666666666,17,031,251800
"Census Tract 2519, Cook County, Illinois",-666666666,17,031,251900
"Census Tract 2520, Cook County, Illinois",-666666666,17,031,252000
"Census Tract 2521.01, Cook County, Illinois",-666666666,17,031,252101
"Census Tract 2521.02, Cook County, Illinois",-666666666,17,031,252102
"Census Tract 2522.01, Cook County, Illinois",-999999999,17,031,252201
"Census Tract 2522.02, Cook County, Illinois",-999999999,17,031,252202
"Census Tract 2601, Cook County, Illinois",-999999999,17,031,260100
"Census Tract 2602, Cook County, Illinois",-666666666,17,031,260200
"Census Tract 2603, Cook County, Illinois",-666666666,17,031,260300
"Census Tract 2604, Cook County, Illinois",-666666666,17,031,260400
"Census Tract 2605, Cook County, Illinois",-666666666,17,031,260500
"Census Tract 2606, Cook County, Illinois",-666666666,17,031,260600
"Census Tract 2607, Cook County, Illinois",-666666666,17,031,260700
"Census Tract 2608, Cook County, Illinois",-666666666,17,031,260800
"Census Tract 2609, Cook County, Illinois",-666666666,17,031,260900
"Census Tract 2610, Cook County, Illinois",-666666666,17,031,261000
"Census Tract 2705, Cook County, Illinois",-666666666,17,031,270500
"Census Tract 2712, Cook County, Illinois",-666666666,17,031,271200
"Census Tract 2713, Cook County, Illinois",-999999999,17,031,271300
"Census Tract 2714, Cook County, Illinois",-999999999,17,031,271400
"Census Tract 2715, Cook County, Illinois",-666666666,17,031,271500
"Census Tract 2718, Cook County, Illinois",-666666666,17,031,271800
"Census Tract 2801, Cook County, Illinois",89634,17,031,280100
"Census Tract 2804, Cook County, Illinois",-999999999,17,031,280400
"Census Tract 2808, Cook County, Illinois",-666666666,17,031,280800
"Census Tract 2809, Cook County, Illinois",-999999999,17,031,280900
"Census Tract 2819, Cook County, Illinois",73270,17,031,281900
"Census Tract 2827, Cook County, Illinois",35345,17,031,282700
"Census Tract 2508, Cook County, Illinois",-666666666,17,031,250800
"Census Tract 2828, Cook County, Illinois",91816,17,031,282800
"Census Tract 2831, Cook County, Illinois",36577,17,031,283100
"Census Tract 2832, Cook County, Illinois",42848,17,031,283200
"Census Tract 2838, Cook County, Illinois",75424,17,031,283800
"Census Tract 2909, Cook County, Illinois",-999999999,17,031,290900
"Census Tract 2912, Cook County, Illinois",-666666666,17,031,291200
"Census Tract 2916, Cook County, Illinois",-666666666,17,031,291600
"Census Tract 2922, Cook County, Illinois",-999999999,17,031,292200
"Census Tract 2924, Cook County, Illinois",-999999999,17,031,292400
"Census Tract 8222, Cook County, Illinois",43679,17,031,822200
"Census Tract 8223.01, Cook County, Illinois",61019,17,031,822301
"Census Tract 8223.02, Cook County, Illinois",28666,17,031,822302
"Census Tract 8224, Cook County, Illinois",22696,17,031,822400
"Census Tract 8225, Cook County, Illinois",29367,17,031,822500
"Census Tract 8226.01, Cook County, Illinois",-999999999,17,031,822601
"Census Tract 8226.02, Cook County, Illinois",33765,17,031,822602
"Census Tract 8227.01, Cook County, Illinois",42018,17,031,822701
"Census Tract 8227.02, Cook County, Illinois",-999999999,17,031,822702
"Census Tract 8228.01, Cook County, Illinois",75912,17,031,822801
"Census Tract 8228.02, Cook County, Illinois",15531,17,031,822802
"Census Tract 8229, Cook County, Illinois",-999999999,17,031,822900
