NAME,S1902_C03_021E,state,county,tract
"Census Tract 8233.04, Cook County, Illinois",24633,17,031,823304
"Census Tract 8245.07, Cook County, Illinois",23989,17,031,824507
"Census Tract 8248, Cook County, Illinois",13868,17,031,824800
"Census Tract 8249, Cook County, Illinois",15036,17,031,824900
"Census Tract 8254, Cook County, Illinois",36984,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",21935,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",28188,17,031,825503
"Census Tract 8255.05, Cook County, Illinois",23209,17,031,825505
"Census Tract 5306, Cook County, Illinois",16092,17,031,530600
"Census Tract 3108, Cook County, Illinois",13938,17,031,310800
"Census Tract 3302, Cook County, Illinois",49133,17,031,330200
"Census Tract 3405, Cook County, Illinois",14676,17,031,340500
"Census Tract 3515, Cook County, Illinois",17835,17,031,351500
"Census Tract 3903, Cook County, Illinois",17466,17,031,390300
"Census Tract 4008, Cook County, Illinois",11767,17,031,400800
"Census Tract 4108, Cook County, Illinois",30162,17,031,410800
"Census Tract 4203, Cook County, Illinois",24326,17,031,420300
"Census Tract 4302, Cook County, Illinois",21992,17,031,430200
"Census Tract 4305, Cook County, Illinois",14826,17,031,430500
"Census Tract 4314, Cook County, Illinois",19422,17,031,431400
"Census Tract 4407, Cook County, Illinois",22937,17,031,440700
"Census Tract 4701, Cook County, Illinois",17555,17,031,470100
"Census Tract 4801, Cook County, Illinois",30757,17,031,480100
"Census Tract 4911, Cook County, Illinois",27402,17,031,491100
"Census Tract 4913, Cook County, Illinois",12332,17,031,491300
"Census Tract 5101, Cook County, Illinois",21529,17,031,510100
"Census Tract 5201, Cook County, Illinois",22722,17,031,520100
"Census Tract 5301, Cook County, Illinois",14825,17,031,530100
"Census Tract 5302, Cook County, Illinois",14732,17,031,530200
"Census Tract 5601, Cook County, Illinois",12059,17,031,560100
"Census Tract 8016.03, Cook County, Illinois",16412,17,031,801603
"Census Tract 8016.08, Cook County, Illinois",-999999999,17,031,801608
"Census Tract 8019.01, Cook County, Illinois",10864,17,031,801901
"Census Tract 8024.02, Cook County, Illinois",32028,17,031,802402
"Census Tract 8030.10, Cook County, Illinois",-666666666,17,031,803010
"Census Tract 713, Cook County, Illinois",22307,17,031,071300
"Census Tract 803, Cook County, Illinois",181122,17,031,080300
"Census Tract 816, Cook County, Illinois",90334,17,031,081600
"Census Tract 818, Cook County, Illinois",130348,17,031,081800
"Census Tract 819, Cook County, Illinois",14622,17,031,081900
"Census Tract 5703, Cook County, Illinois",30919,17,031,570300
"Census Tract 6115, Cook County, Illinois",29956,17,031,611500
"Census Tract 6117, Cook County, Illinois",14567,17,031,611700
"Census Tract 6202, Cook County, Illinois",-999999999,17,031,620200
"Census Tract 8163, Cook County, Illinois",10099,17,031,816300
"Census Tract 8170, Cook County, Illinois",24559,17,031,817000
"Census Tract 8185, Cook County, Illinois",26785,17,031,818500
"Census Tract 8187, Cook County, Illinois",10283,17,031,818700
"Census Tract 2001, Cook County, Illinois",18759,17,031,200100
"Census Tract 1609, Cook County, Illinois",28029,17,031,160900
"Census Tract 1709, Cook County, Illinois",29614,17,031,170900
"Census Tract 2203, Cook County, Illinois",43075,17,031,220300
"Census Tract 6301, Cook County, Illinois",15900,17,031,630100
"Census Tract 6610, Cook County, Illinois",15995,17,031,661000
"Census Tract 6702, Cook County, Illinois",20882,17,031,670200
"Census Tract 104, Cook County, Illinois",17542,17,031,010400
"Census Tract 3801, Cook County, Illinois",20394,17,031,380100
"Census Tract 6718, Cook County, Illinois",22801,17,031,671800
"Census Tract 6911, Cook County, Illinois",11922,17,031,691100
"Census Tract 5303, Cook County, Illinois",19633,17,031,530300
"Census Tract 5609, Cook County, Illinois",-999999999,17,031,560900
"Census Tract 5803, Cook County, Illinois",-999999999,17,031,580300
"Census Tract 6113, Cook County, Illinois",8955,17,031,611300
"Census Tract 6116, Cook County, Illinois",15239,17,031,611600
"Census Tract 6203, Cook County, Illinois",21486,17,031,620300
"Census Tract 6204, Cook County, Illinois",3490,17,031,620400
