NAME,S1903_C03_002E,state,county,tract
"Census Tract 101, Cook County, Illinois",75547,17,031,010100
"Census Tract 102.01, Cook County, Illinois",66353,17,031,010201
"Census Tract 102.02, Cook County, Illinois",55729,17,031,010202
"Census Tract 103, Cook County, Illinois",65565,17,031,010300
"Census Tract 104, Cook County, Illinois",43643,17,031,010400
"Census Tract 105.01, Cook County, Illinois",52170,17,031,010501
"Census Tract 105.02, Cook County, Illinois",48750,17,031,010502
"Census Tract 105.03, Cook County, Illinois",18838,17,031,010503
"Census Tract 106, Cook County, Illinois",64423,17,031,010600
"Census Tract 107.01, Cook County, Illinois",77697,17,031,010701
"Census Tract 107.02, Cook County, Illinois",45938,17,031,010702
"Census Tract 201, Cook County, Illinois",62000,17,031,020100
"Census Tract 202, Cook County, Illinois",112188,17,031,020200
"Census Tract 203.01, Cook County, Illinois",62037,17,031,020301
"Census Tract 203.02, Cook County, Illinois",84737,17,031,020302
"Census Tract 204, Cook County, Illinois",66691,17,031,020400
"Census Tract 205, Cook County, Illinois",58750,17,031,020500
"Census Tract 206.01, Cook County, Illinois",70391,17,031,020601
"Census Tract 206.02, Cook County, Illinois",134299,17,031,020602
"Census Tract 207.01, Cook County, Illinois",74000,17,031,020701
"Census Tract 207.02, Cook County, Illinois",49042,17,031,020702
"Census Tract 208.01, Cook County, Illinois",52407,17,031,020801
"Census Tract 208.02, Cook County, Illinois",62868,17,031,020802
"Census Tract 209.01, Cook County, Illinois",57500,17,031,020901
"Census Tract 209.02, Cook County, Illinois",46964,17,031,020902
"Census Tract 301.01, Cook County, Illinois",42026,17,031,030101
"Census Tract 301.02, Cook County, Illinois",44397,17,031,030102
"Census Tract 301.03, Cook County, Illinois",45469,17,031,030103
"Census Tract 301.04, Cook County, Illinois",31173,17,031,030104
"Census Tract 302, Cook County, Illinois",95393,17,031,030200
"Census Tract 303, Cook County, Illinois",73056,17,031,030300
"Census Tract 304, Cook County, Illinois",96198,17,031,030400
"Census Tract 305, Cook County, Illinois",110804,17,031,030500
"Census Tract 306.01, Cook County, Illinois",61333,17,031,030601
"Census Tract 306.03, Cook County, Illinois",55033,17,031,030603
"Census Tract 306.04, Cook County, Illinois",62065,17,031,030604
"Census Tract 307.01, Cook County, Illinois",35729,17,031,030701
"Census Tract 307.02, Cook County, Illinois",50054,17,031,030702
"Census Tract 307.03, Cook County, Illinois",34233,17,031,030703
"Census Tract 307.06, Cook County, Illinois",65295,17,031,030706
"Census Tract 308, Cook County, Illinois",89977,17,031,030800
"Census Tract 309, Cook County, Illinois",94979,17,031,030900
"Census Tract 310, Cook County, Illinois",94180,17,031,031000
"Census Tract 311, Cook County, Illinois",78070,17,031,031100
"Census Tract 312, Cook County, Illinois",46528,17,031,031200
"Census Tract 313, Cook County, Illinois",64420,17,031,031300
"Census Tract 314, Cook County, Illinois",81315,17,031,031400
"Census Tract 315.01, Cook County, Illinois",55625,17,031,031501
"Census Tract 315.02, Cook County, Illinois",49022,17,031,031502
"Census Tract 317, Cook County, Illinois",82491,17,031,031700
"Census Tract 318, Cook County, Illinois",89028,17,031,031800
"Census Tract 319, Cook County, Illinois",96300,17,031,031900
"Census Tract 321, Cook County, Illinois",72563,17,031,032100
"Census Tract 401, Cook County, Illinois",104310,17,031,040100
"Census Tract 402.01, Cook County, Illinois",94896,17,031,040201
"Census Tract 402.02, Cook County, Illinois",52836,17,031,040202
"Census Tract 403, Cook County, Illinois",92788,17,031,040300
"Census Tract 404.01, Cook County, Illinois",112708,17,031,040401
"Census Tract 404.02, Cook County, Illinois",86675,17,031,040402
"Census Tract 406, Cook County, Illinois",84599,17,031,040600
"Census Tract 407, Cook County, Illinois",108611,17,031,040700
"Census Tract 408, Cook County, Illinois",95577,17,031,040800
"Census Tract 409, Cook County, Illinois",64375,17,031,040900
"Census Tract 501, Cook County, Illinois",119942,17,031,050100
"Census Tract 502, Cook County, Illinois",153367,17,031,050200
"Census Tract 503, Cook County, Illinois",131307,17,031,050300
"Census Tract 505, Cook County, Illinois",130690,17,031,050500
"Census Tract 506, Cook County, Illinois",110750,17,031,050600
"Census Tract 507, Cook County, Illinois",116829,17,031,050700
"Census Tract 508, Cook County, Illinois",130625,17,031,050800
"Census Tract 509, Cook County, Illinois",120724,17,031,050900
"Census Tract 510, Cook County, Illinois",165833,17,031,051000
"Census Tract 511, Cook County, Illinois",186417,17,031,051100
"Census Tract 512, Cook County, Illinois",153750,17,031,051200
"Census Tract 513, Cook County, Illinois",197616,17,031,051300
"Census Tract 514, Cook County, Illinois",156458,17,031,051400
"Census Tract 601, Cook County, Illinois",128333,17,031,060100
"Census Tract 602, Cook County, Illinois",90938,17,031,060200
