NAME,B25059_001E,state,county,tract
"Census Tract 101, Cook County, Illinois",1296,17,031,010100
"Census Tract 102.01, Cook County, Illinois",1370,17,031,010201
"Census Tract 102.02, Cook County, Illinois",1271,17,031,010202
"Census Tract 103, Cook County, Illinois",1386,17,031,010300
"Census Tract 104, Cook County, Illinois",1195,17,031,010400
"Census Tract 105.01, Cook County, Illinois",1184,17,031,010501
"Census Tract 105.02, Cook County, Illinois",1333,17,031,010502
"Census Tract 105.03, Cook County, Illinois",1585,17,031,010503
"Census Tract 106, Cook County, Illinois",1319,17,031,010600
"Census Tract 107.01, Cook County, Illinois",1252,17,031,010701
"Census Tract 107.02, Cook County, Illinois",1430,17,031,010702
"Census Tract 201, Cook County, Illinois",1446,17,031,020100
"Census Tract 202, Cook County, Illinois",1500,17,031,020200
"Census Tract 203.01, Cook County, Illinois",1454,17,031,020301
"Census Tract 203.02, Cook County, Illinois",1555,17,031,020302
"Census Tract 204, Cook County, Illinois",1277,17,031,020400
"Census Tract 205, Cook County, Illinois",1250,17,031,020500
"Census Tract 206.01, Cook County, Illinois",1358,17,031,020601
"Census Tract 206.02, Cook County, Illinois",1441,17,031,020602
"Census Tract 207.01, Cook County, Illinois",1662,17,031,020701
"Census Tract 207.02, Cook County, Illinois",1224,17,031,020702
"Census Tract 208.01, Cook County, Illinois",1399,17,031,020801
"Census Tract 208.02, Cook County, Illinois",1336,17,031,020802
"Census Tract 209.01, Cook County, Illinois",1329,17,031,020901
"Census Tract 209.02, Cook County, Illinois",1337,17,031,020902
"Census Tract 301.01, Cook County, Illinois",1181,17,031,030101
"Census Tract 301.02, Cook County, Illinois",1289,17,031,030102
"Census Tract 301.03, Cook County, Illinois",1309,17,031,030103
"Census Tract 301.04, Cook County, Illinois",1437,17,031,030104
"Census Tract 302, Cook County, Illinois",1744,17,031,030200
"Census Tract 303, Cook County, Illinois",1249,17,031,030300
"Census Tract 304, Cook County, Illinois",1441,17,031,030400
"Census Tract 305, Cook County, Illinois",1757,17,031,030500
"Census Tract 306.01, Cook County, Illinois",1345,17,031,030601
"Census Tract 306.03, Cook County, Illinois",1100,17,031,030603
"Census Tract 306.04, Cook County, Illinois",1389,17,031,030604
"Census Tract 307.01, Cook County, Illinois",1304,17,031,030701
"Census Tract 307.02, Cook County, Illinois",1707,17,031,030702
"Census Tract 307.03, Cook County, Illinois",1287,17,031,030703
"Census Tract 307.06, Cook County, Illinois",1699,17,031,030706
"Census Tract 308, Cook County, Illinois",1708,17,031,030800
