,census_tract_id,census_tract_id_11,census_tract_name,community_id,community_name,zip_code
0,842400,17031842400,8424.0,44,CHATHAM,6062
1,840300,17031840300,8403.0,59,MCKINLEY PARK,60609
2,840300,17031840300,8403.0,59,MCKINLEY PARK,60632
3,840300,17031840300,8403.0,59,MCKINLEY PARK,60608
4,841100,17031841100,8411.0,34,ARMOUR SQUARE,60616
5,841200,17031841200,8412.0,31,LOWER WEST SIDE,60608
6,839000,17031839000,8390.0,32,LOOP,60605
7,839000,17031839000,8390.0,32,LOOP,60607
8,838200,17031838200,8382.0,28,NEAR WEST SIDE,60612
9,838200,17031838200,8382.0,28,NEAR WEST SIDE,60607
10,838200,17031838200,8382.0,28,NEAR WEST SIDE,60608
11,650301,17031650301,6503.01,65,WEST LAWN,60629
12,530503,17031530503,5305.03,53,WEST PULLMAN,60643
13,530503,17031530503,5305.03,53,WEST PULLMAN,60628
14,760803,17031760803,7608.03,76,OHARE,60706
15,760803,17031760803,7608.03,76,OHARE,60656
16,30601,17031030601,306.01,77,EDGEWATER,6066
17,30604,17031030604,306.04,77,EDGEWATER,6066
18,20801,17031020801,208.01,2,WEST RIDGE,60659
19,540102,17031540102,5401.02,54,RIVERDALE,60827
20,540102,17031540102,5401.02,54,RIVERDALE,60628
21,843300,17031843300,8433.0,29,NORTH LAWNDALE,60608
22,843300,17031843300,8433.0,29,NORTH LAWNDALE,60612
23,540101,17031540101,5401.01,54,RIVERDALE,60827
24,440201,17031440201,4402.01,44,CHATHAM,60619
25,80202,17031080202,802.02,8,NEAR NORTH SIDE,6061
26,70102,17031070102,701.02,7,LINCOLN PARK,60614
27,31501,17031031501,315.01,3,UPTOWN,6064
28,31502,17031031502,315.02,3,UPTOWN,60613
29,31502,17031031502,315.02,3,UPTOWN,6064
30,834900,17031834900,8349.0,67,WEST ENGLEWOOD,60636
31,834800,17031834800,8348.0,68,ENGLEWOOD,60621
32,160502,17031160502,1605.02,16,IRVING PARK,60618
33,140702,17031140702,1407.02,14,ALBANY PARK,60618
34,140702,17031140702,1407.02,14,ALBANY PARK,60625
35,842000,17031842000,8420.0,35,DOUGLAS,60616
36,150402,17031150402,1504.02,15,PORTAGE PARK,60634
37,834400,17031834400,8344.0,42,WOODLAWN,60637
38,40201,17031040201,402.01,4,LINCOLN SQUARE,60625
39,40202,17031040202,402.02,4,LINCOLN SQUARE,60625
40,40202,17031040202,402.02,4,LINCOLN SQUARE,60659
41,20702,17031020702,207.02,2,WEST RIDGE,60659
42,20702,17031020702,207.02,2,WEST RIDGE,60645
43,20802,17031020802,208.02,2,WEST RIDGE,60645
44,20802,17031020802,208.02,2,WEST RIDGE,60659
45,20301,17031020301,203.01,2,WEST RIDGE,60645
46,838700,17031838700,8387.0,29,NORTH LAWNDALE,60623
47,838700,17031838700,8387.0,29,NORTH LAWNDALE,60624
48,20601,17031020601,206.01,2,WEST RIDGE,60659
49,20601,17031020601,206.01,2,WEST RIDGE,60645
50,841500,17031841500,8415.0,29,NORTH LAWNDALE,60624
51,841500,17031841500,8415.0,29,NORTH LAWNDALE,60623
52,838600,17031838600,8386.0,29,NORTH LAWNDALE,60612
53,837300,17031837300,8373.0,27,EAST GARFIELD PARK,60612
54,837300,17031837300,8373.0,27,EAST GARFIELD PARK,60624
55,20602,17031020602,206.02,2,WEST RIDGE,60645
56,20602,17031020602,206.02,2,WEST RIDGE,60659
57,63301,17031063301,633.01,6,LAKE VIEW,60614
